"Site","gseason","grow_season","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Boulder Creek","Winter (Oct-Apr)","obs_na",0,0,0,213,0,27,27,199,199,0,134
"Bowron Pit","Summer (May-Sep)","mean",12.06,5.5,18.6,2.13,931.89,78.22,7.63,0.21,344.62,5.09,176.07
"Bowron Pit","Summer (May-Sep)","max",27.8,18.06,38.53,28.4,949.89,99.07,17.44,1.53,88.45,11.58,359.37
"Bowron Pit","Summer (May-Sep)","min",0.35,-7.67,7.39,0,915.4,44.14,-5.4,0,270.43,1.51,25.09
"Bowron Pit","Summer (May-Sep)","obs_na",16,16,15,15,15,16,16,15,157,15,16
"Bowron Pit","Winter (Oct-Apr)","mean",-1.57,-6.96,3.72,1.64,931.15,82.9,-4.57,0.3,342.94,5.38,66.35
"Bowron Pit","Winter (Oct-Apr)","max",12.36,6.91,21.99,32,953.58,99.96,10.7,2.39,89.95,18.12,274.98
"Bowron Pit","Winter (Oct-Apr)","min",-37.86,-45.01,-26.49,0,906.03,42.04,-40.67,0,270.5,0,2.17
"Bowron Pit","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,212,0,0
"Bulkley","Summer (May-Sep)","mean",13.19,Inf,-Inf,1.43,944.73,74.79,7.61,0.26,5.76,3.49,135.07
"Bulkley","Summer (May-Sep)","max",27.88,Inf,39.66,27.6,963.48,100,17.92,1.19,89.98,7.98,322.6
"Bulkley","Summer (May-Sep)","min",0.47,-6.74,-Inf,0,919.27,32.17,-10.12,0,270.77,0.19,21.5
"Bulkley","Summer (May-Sep)","obs_na",9,0,0,11,0,83,83,0,0,0,14
"Bulkley","Winter (Oct-Apr)","mean",-1.77,-6.63,2.98,0.9,943.77,82.1,-4.9,0.33,352.39,3.3,36.13
"Bulkley","Winter (Oct-Apr)","max",16.78,12.12,26.21,22.2,969.24,100,10.84,1.61,89.8,9.83,241.08
"Bulkley","Winter (Oct-Apr)","min",-36.24,-43.56,-27.9,0,907.59,28.25,-39.08,0,270.07,0,1.28
"Bulkley","Winter (Oct-Apr)","obs_na",0,0,0,119,0,1,1,0,0,0,157
"Canoe","Summer (May-Sep)","mean",5.6,2.69,8.75,1.97,779.95,76.44,1.24,4.61,350.37,-Inf,209.7
"Canoe","Summer (May-Sep)","max",24.55,20.79,28.94,47.6,791.95,100,10.84,13.71,88.62,49.31,429.26
"Canoe","Summer (May-Sep)","min",-9.24,-10.65,-7.58,0,765.64,28.77,-12.54,0,272.83,-Inf,25.46
"Canoe","Summer (May-Sep)","obs_na",0,0,0,127,127,0,0,84,189,0,0
"Canoe","Winter (Oct-Apr)","mean",-7.2,-9.5,-4.81,0.22,772.48,86.79,-9.3,4.76,347.32,-Inf,83.05
"Canoe","Winter (Oct-Apr)","max",10.22,8.07,13.35,31.01,793.62,100,4.21,17.47,89.84,30.99,327.38
"Canoe","Winter (Oct-Apr)","min",-32.57,-35.97,-26.91,0,752.46,15,-34.88,0,270.09,-Inf,3.58
"Canoe","Winter (Oct-Apr)","obs_na",0,0,0,14,16,0,0,168,214,0,0
"Cassiar Mt","Summer (May-Sep)","mean",6.81,4,10.07,1.87,837.47,79.6,3.21,0.57,0.1,6.83,187.13
"Cassiar Mt","Summer (May-Sep)","max",19.44,15.46,24.1,34.6,852.73,99.63,11.81,2.71,89.9,20.22,375.05
