"Site","gseason","grow_season","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Northern Dancer","Summer (May-Sep)","min",-4.94,-7.48,-1.21,0,Inf,38.46,-7.88,0.57,Inf,5.03,15.31
"Northern Dancer","Summer (May-Sep)","obs_na",0,0,0,0,120,0,0,109,120,109,0
"Northern Dancer","Winter (Oct-Apr)","mean",-9.69,-11.88,-7.43,0.22,NA,81.14,-12.55,2.39,NA,10.41,70.4
"Northern Dancer","Winter (Oct-Apr)","max",5.39,2.69,8.22,10.6,-Inf,95.33,0.11,10,-Inf,25.16,293.53
"Northern Dancer","Winter (Oct-Apr)","min",-28.7,-30.76,-26.49,0,Inf,27.62,-31.28,0,Inf,0,3.68
"Northern Dancer","Winter (Oct-Apr)","obs_na",0,0,0,0,212,0,0,40,212,40,0
"Pink Mountain","Summer (May-Sep)","mean",6.58,Inf,-Inf,1.95,819.67,71.87,1.3,4.35,10.04,-Inf,207.45
"Pink Mountain","Summer (May-Sep)","max",25.48,Inf,29.84,51.6,835.92,100,12.91,12.18,89.6,31.96,421.35
"Pink Mountain","Summer (May-Sep)","min",-11.99,-13.66,-Inf,0,796.13,21,-14.8,0,270.85,-Inf,20.4
"Pink Mountain","Summer (May-Sep)","obs_na",304,0,0,139,197,304,304,426,1158,0,104
"Pink Mountain","Winter (Oct-Apr)","mean",-8.24,Inf,-Inf,0.24,812.01,75.07,-12.3,5.13,12.21,-Inf,78.89
"Pink Mountain","Winter (Oct-Apr)","max",13.91,Inf,16,33.8,835.8,99.99,5.97,14.13,89.85,36.17,322.7
"Pink Mountain","Winter (Oct-Apr)","min",-36.65,-37.96,-Inf,0,787.07,13.33,-40.77,0,270.42,-Inf,4.2
"Pink Mountain","Winter (Oct-Apr)","obs_na",162,0,0,208,318,161,162,636,1778,0,148
"Saxton Lake","Summer (May-Sep)","mean",12.44,4.94,19.08,1.35,929.09,72.71,6.74,1.57,2.04,-Inf,226.57
"Saxton Lake","Summer (May-Sep)","max",26.43,21.32,36.44,32.6,947.9,100,17.49,5.88,89.91,19.48,411.34
"Saxton Lake","Summer (May-Sep)","min",-0.15,-9.46,2.89,0,903.38,38.73,-8.82,0,270.01,-Inf,29.05
"Saxton Lake","Summer (May-Sep)","obs_na",0,0,0,0,0,7,7,86,139,0,0
"Saxton Lake","Winter (Oct-Apr)","mean",-3.34,-9.29,1.81,0.9,927.72,82.49,-6.32,1.3,348.29,6.6,81.03
"Saxton Lake","Winter (Oct-Apr)","max",15.79,12.16,25.56,35.8,958.25,100,9.88,5.56,89.92,23.93,315.94
"Saxton Lake","Winter (Oct-Apr)","min",-38.96,-47.33,-27.34,0,892.74,36.67,-41.82,0,270.02,0,2.38
"Saxton Lake","Winter (Oct-Apr)","obs_na",0,0,0,0,0,6,6,0,213,0,0
"Sunbeam","Summer (May-Sep)","mean",6.62,Inf,-Inf,2.35,799.01,75.64,2.07,3.6,354.23,11.87,197.77
"Sunbeam","Summer (May-Sep)","max",25.71,Inf,30.24,44.8,812.29,100,10.94,12.25,89.6,49.31,415.72
"Sunbeam","Summer (May-Sep)","min",-8.37,-9.68,-Inf,0,776.27,29.29,-12.21,0,270.24,0,13.95
"Sunbeam","Summer (May-Sep)","obs_na",91,0,0,0,238,91,220,0,556,0,4
"Sunbeam","Winter (Oct-Apr)","mean",-6.16,Inf,-Inf,0.41,792.54,87.37,-8.37,4.09,349.11,-Inf,80
"Sunbeam","Winter (Oct-Apr)","max",12.2,Inf,15.89,22,818.64,100,5.78,13.08,89.75,35.81,319.62
"Sunbeam","Winter (Oct-Apr)","min",-32.91,-35.27,-Inf,0,763.62,11.78,-34.98,0,270.02,-Inf,5.87
"Sunbeam","Winter (Oct-Apr)","obs_na",108,0,0,1,255,108,337,66,826,0,68
"Thompson","Summer (May-Sep)","mean",11.84,5.94,17.83,1.17,913.97,66.47,4.87,1.07,5.55,-Inf,208.85
"Thompson","Summer (May-Sep)","max",27.91,18.28,37.65,38.8,932.69,100,14.27,4.24,89.9,14.84,401.88
"Thompson","Summer (May-Sep)","min",-0.31,-5.57,0.33,0,893.94,27.25,-8.85,0,270.08,-Inf,25.93
"Thompson","Summer (May-Sep)","obs_na",0,0,0,45,0,0,0,78,117,0,0
"Thompson","Winter (Oct-Apr)","mean",-2.7,-6.48,1.41,0.78,910.42,80.83,-5.97,0.86,350.4,-Inf,75.52
"Thompson","Winter (Oct-Apr)","max",14.24,10.35,22.73,34.8,940.06,100,10.08,4.62,89.92,19.67,323.79
"Thompson","Winter (Oct-Apr)","min",-31.63,-36.46,-26.11,0,874.84,30.95,-35.76,0,270.03,-Inf,1.96
"Thompson","Winter (Oct-Apr)","obs_na",0,0,0,60,0,0,0,3,212,0,0
"Willow-Bowron","Summer (May-Sep)","mean",12.97,Inf,-Inf,1.48,944.83,77.43,8.07,0.09,5.86,-Inf,134.41
"Willow-Bowron","Summer (May-Sep)","max",26.82,Inf,38.76,29.8,963.65,100,18.56,0.79,89.97,7.05,324.73
"Willow-Bowron","Summer (May-Sep)","min",0.62,-6.3,-Inf,0,919.08,28.79,-7.75,0,270.08,-Inf,19.37
"Willow-Bowron","Summer (May-Sep)","obs_na",47,0,0,65,0,47,47,164,543,0,45
"Willow-Bowron","Winter (Oct-Apr)","mean",-1.57,-6.4,3.16,1,943.79,83.55,-4.46,0.15,0.67,-Inf,36.15
"Willow-Bowron","Winter (Oct-Apr)","max",16.88,12.55,25.91,43.4,974.67,100,11.25,1.35,89.98,9.28,256.71
"Willow-Bowron","Winter (Oct-Apr)","min",-36.47,-43.3,-29.52,0,908.1,33.25,-39.04,0,270.14,-Inf,0.92
"Willow-Bowron","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,146,783,0,0
