"Site","WS","gseason","WD","n"
"Barren","(9, Inf]","Summer","210",8
"Barren","(9, Inf]","Summer","240",78
"Barren","(9, Inf]","Summer","270",24
"Barren","(9, Inf]","Summer","300",4
"Barren","(6,9]","Summer","60",2
"Barren","(6,9]","Summer","90",2
"Barren","(6,9]","Summer","180",1
"Barren","(6,9]","Summer","210",16
"Barren","(6,9]","Summer","240",80
"Barren","(6,9]","Summer","270",31
"Barren","(6,9]","Summer","300",3
"Barren","(3,6]","Summer","0",2
"Barren","(3,6]","Summer","30",2
"Barren","(3,6]","Summer","60",15
"Barren","(3,6]","Summer","90",21
"Barren","(3,6]","Summer","120",22
"Barren","(3,6]","Summer","150",20
"Barren","(3,6]","Summer","180",18
"Barren","(3,6]","Summer","210",85
"Barren","(3,6]","Summer","240",201
"Barren","(3,6]","Summer","270",61
"Barren","(3,6]","Summer","300",9
"Barren","(3,6]","Summer","330",2
"Barren","(-Inf,3]","Summer","0",2
"Barren","(-Inf,3]","Summer","30",13
"Barren","(-Inf,3]","Summer","60",23
"Barren","(-Inf,3]","Summer","90",11
"Barren","(-Inf,3]","Summer","120",16
"Barren","(-Inf,3]","Summer","150",67
"Barren","(-Inf,3]","Summer","180",27
"Barren","(-Inf,3]","Summer","210",131
"Barren","(-Inf,3]","Summer","240",162
"Barren","(-Inf,3]","Summer","270",102
"Barren","(-Inf,3]","Summer","300",18
"Barren","(-Inf,3]","Summer","330",6
"Blackhawk","(9, Inf]","Summer","0",24
"Blackhawk","(9, Inf]","Summer","30",38
"Blackhawk","(9, Inf]","Summer","60",668
"Blackhawk","(9, Inf]","Summer","90",562
"Blackhawk","(9, Inf]","Summer","120",96
"Blackhawk","(9, Inf]","Summer","150",33
"Blackhawk","(9, Inf]","Summer","180",22
"Blackhawk","(9, Inf]","Summer","210",1876
"Blackhawk","(9, Inf]","Summer","240",1964
"Blackhawk","(9, Inf]","Summer","270",82
"Blackhawk","(9, Inf]","Summer","300",21
"Blackhawk","(9, Inf]","Summer","330",12
"Blackhawk","(9, Inf]","Winter","0",16
"Blackhawk","(9, Inf]","Winter","30",33
"Blackhawk","(9, Inf]","Winter","60",785
"Blackhawk","(9, Inf]","Winter","90",386
"Blackhawk","(9, Inf]","Winter","120",29
"Blackhawk","(9, Inf]","Winter","150",22
"Blackhawk","(9, Inf]","Winter","180",26
"Blackhawk","(9, Inf]","Winter","210",2539
"Blackhawk","(9, Inf]","Winter","240",2113
"Blackhawk","(9, Inf]","Winter","270",33
"Blackhawk","(9, Inf]","Winter","300",16
"Blackhawk","(9, Inf]","Winter","330",23
"Blackhawk","(6,9]","Summer","0",57
"Blackhawk","(6,9]","Summer","30",94
"Blackhawk","(6,9]","Summer","60",510
"Blackhawk","(6,9]","Summer","90",334
"Blackhawk","(6,9]","Summer","120",128
"Blackhawk","(6,9]","Summer","150",73
