"Site","WS","gseason","WD","n"
"Blackhawk","(6,9]","Summer","180",99
"Blackhawk","(6,9]","Summer","210",998
"Blackhawk","(6,9]","Summer","240",1092
"Blackhawk","(6,9]","Summer","270",219
"Blackhawk","(6,9]","Summer","300",136
"Blackhawk","(6,9]","Summer","330",65
"Blackhawk","(6,9]","Winter","0",100
"Blackhawk","(6,9]","Winter","30",102
"Blackhawk","(6,9]","Winter","60",344
"Blackhawk","(6,9]","Winter","90",163
"Blackhawk","(6,9]","Winter","120",116
"Blackhawk","(6,9]","Winter","150",39
"Blackhawk","(6,9]","Winter","180",88
"Blackhawk","(6,9]","Winter","210",1054
"Blackhawk","(6,9]","Winter","240",1205
"Blackhawk","(6,9]","Winter","270",195
"Blackhawk","(6,9]","Winter","300",110
"Blackhawk","(6,9]","Winter","330",89
"Blackhawk","(3,6]","Summer","0",213
"Blackhawk","(3,6]","Summer","30",277
"Blackhawk","(3,6]","Summer","60",533
"Blackhawk","(3,6]","Summer","90",454
"Blackhawk","(3,6]","Summer","120",137
"Blackhawk","(3,6]","Summer","150",81
"Blackhawk","(3,6]","Summer","180",144
"Blackhawk","(3,6]","Summer","210",933
"Blackhawk","(3,6]","Summer","240",1133
"Blackhawk","(3,6]","Summer","270",361
"Blackhawk","(3,6]","Summer","300",189
"Blackhawk","(3,6]","Summer","330",183
"Blackhawk","(3,6]","Winter","0",287
"Blackhawk","(3,6]","Winter","30",256
"Blackhawk","(3,6]","Winter","60",415
"Blackhawk","(3,6]","Winter","90",225
"Blackhawk","(3,6]","Winter","120",98
"Blackhawk","(3,6]","Winter","150",70
"Blackhawk","(3,6]","Winter","180",220
"Blackhawk","(3,6]","Winter","210",1170
"Blackhawk","(3,6]","Winter","240",1450
"Blackhawk","(3,6]","Winter","270",388
"Blackhawk","(3,6]","Winter","300",217
"Blackhawk","(3,6]","Winter","330",210
"Blackhawk","(-Inf,3]","Summer","0",790
"Blackhawk","(-Inf,3]","Summer","30",1138
"Blackhawk","(-Inf,3]","Summer","60",1668
"Blackhawk","(-Inf,3]","Summer","90",1001
"Blackhawk","(-Inf,3]","Summer","120",454
"Blackhawk","(-Inf,3]","Summer","150",471
"Blackhawk","(-Inf,3]","Summer","180",777
"Blackhawk","(-Inf,3]","Summer","210",2916
"Blackhawk","(-Inf,3]","Summer","240",3895
"Blackhawk","(-Inf,3]","Summer","270",1509
"Blackhawk","(-Inf,3]","Summer","300",723
"Blackhawk","(-Inf,3]","Summer","330",601
"Blackhawk","(-Inf,3]","Winter","0",1932
"Blackhawk","(-Inf,3]","Winter","30",1950
"Blackhawk","(-Inf,3]","Winter","60",2761
"Blackhawk","(-Inf,3]","Winter","90",1344
"Blackhawk","(-Inf,3]","Winter","120",500
"Blackhawk","(-Inf,3]","Winter","150",741
"Blackhawk","(-Inf,3]","Winter","180",1192
"Blackhawk","(-Inf,3]","Winter","210",3782
"Blackhawk","(-Inf,3]","Winter","240",4848
"Blackhawk","(-Inf,3]","Winter","270",2958
"Blackhawk","(-Inf,3]","Winter","300",1469
"Blackhawk","(-Inf,3]","Winter","330",1175
"BoulderCr","(9, Inf]","Summer","60",1
"BoulderCr","(9, Inf]","Summer","150",1
"BoulderCr","(9, Inf]","Winter","0",3
"BoulderCr","(9, Inf]","Winter","30",8
"BoulderCr","(9, Inf]","Winter","60",16
"BoulderCr","(9, Inf]","Winter","90",7
"BoulderCr","(9, Inf]","Winter","120",1
"BoulderCr","(9, Inf]","Winter","150",2
"BoulderCr","(6,9]","Summer","0",42
"BoulderCr","(6,9]","Summer","30",55
"BoulderCr","(6,9]","Summer","60",48
"BoulderCr","(6,9]","Summer","90",33
"BoulderCr","(6,9]","Summer","120",33
"BoulderCr","(6,9]","Summer","150",17
"BoulderCr","(6,9]","Summer","180",2
"BoulderCr","(6,9]","Summer","210",1
"BoulderCr","(6,9]","Summer","240",5
"BoulderCr","(6,9]","Summer","270",97
"BoulderCr","(6,9]","Summer","300",40
"BoulderCr","(6,9]","Summer","330",9
"BoulderCr","(6,9]","Winter","0",19
"BoulderCr","(6,9]","Winter","30",162
"BoulderCr","(6,9]","Winter","60",259
"BoulderCr","(6,9]","Winter","90",118
"BoulderCr","(6,9]","Winter","120",51
"BoulderCr","(6,9]","Winter","150",66
"BoulderCr","(6,9]","Winter","180",28
"BoulderCr","(6,9]","Winter","210",2
"BoulderCr","(6,9]","Winter","240",4
"BoulderCr","(6,9]","Winter","270",8
"BoulderCr","(6,9]","Winter","300",4
"BoulderCr","(6,9]","Winter","330",1
"BoulderCr","(3,6]","Summer","0",273
"BoulderCr","(3,6]","Summer","30",445
"BoulderCr","(3,6]","Summer","60",347
"BoulderCr","(3,6]","Summer","90",209
"BoulderCr","(3,6]","Summer","120",143
"BoulderCr","(3,6]","Summer","150",94
"BoulderCr","(3,6]","Summer","180",114
"BoulderCr","(3,6]","Summer","210",269
"BoulderCr","(3,6]","Summer","240",733
"BoulderCr","(3,6]","Summer","270",1183
"BoulderCr","(3,6]","Summer","300",527
"BoulderCr","(3,6]","Summer","330",241
"BoulderCr","(3,6]","Winter","0",161
"BoulderCr","(3,6]","Winter","30",834
"BoulderCr","(3,6]","Winter","60",1120
"BoulderCr","(3,6]","Winter","90",645
"BoulderCr","(3,6]","Winter","120",316
"BoulderCr","(3,6]","Winter","150",231
"BoulderCr","(3,6]","Winter","180",130
"BoulderCr","(3,6]","Winter","210",102
"BoulderCr","(3,6]","Winter","240",133
"BoulderCr","(3,6]","Winter","270",164
"BoulderCr","(3,6]","Winter","300",57
"BoulderCr","(3,6]","Winter","330",26
"BoulderCr","(-Inf,3]","Summer","0",1622
"BoulderCr","(-Inf,3]","Summer","30",3692
"BoulderCr","(-Inf,3]","Summer","60",3882
"BoulderCr","(-Inf,3]","Summer","90",2736
"BoulderCr","(-Inf,3]","Summer","120",2834
"BoulderCr","(-Inf,3]","Summer","150",2188
"BoulderCr","(-Inf,3]","Summer","180",1933
"BoulderCr","(-Inf,3]","Summer","210",2011
"BoulderCr","(-Inf,3]","Summer","240",1991
"BoulderCr","(-Inf,3]","Summer","270",1906
"BoulderCr","(-Inf,3]","Summer","300",1687
"BoulderCr","(-Inf,3]","Summer","330",1612
"BoulderCr","(-Inf,3]","Winter","0",1823
"BoulderCr","(-Inf,3]","Winter","30",5846
"BoulderCr","(-Inf,3]","Winter","60",8787
"BoulderCr","(-Inf,3]","Winter","90",6078
"BoulderCr","(-Inf,3]","Winter","120",5215
"BoulderCr","(-Inf,3]","Winter","150",4896
"BoulderCr","(-Inf,3]","Winter","180",2421
"BoulderCr","(-Inf,3]","Winter","210",1452
"BoulderCr","(-Inf,3]","Winter","240",1395
"BoulderCr","(-Inf,3]","Winter","270",1148
"BoulderCr","(-Inf,3]","Winter","300",915
"BoulderCr","(-Inf,3]","Winter","330",911
"Bowron Pit","(9, Inf]","Summer","0",9
"Bowron Pit","(9, Inf]","Summer","30",28
"Bowron Pit","(9, Inf]","Summer","60",9
"Bowron Pit","(9, Inf]","Summer","90",3
"Bowron Pit","(9, Inf]","Summer","120",8
"Bowron Pit","(9, Inf]","Summer","150",8
"Bowron Pit","(9, Inf]","Winter","0",19
"Bowron Pit","(9, Inf]","Winter","30",10
"Bowron Pit","(9, Inf]","Winter","120",79
"Bowron Pit","(9, Inf]","Winter","150",104
"Bowron Pit","(9, Inf]","Winter","180",5
"Bowron Pit","(9, Inf]","Winter","210",7
"Bowron Pit","(9, Inf]","Winter","330",4
"Bowron Pit","(6,9]","Summer","0",12
"Bowron Pit","(6,9]","Summer","30",31
"Bowron Pit","(6,9]","Summer","60",9
"Bowron Pit","(6,9]","Summer","90",1
"Bowron Pit","(6,9]","Summer","120",8
"Bowron Pit","(6,9]","Summer","150",20
"Bowron Pit","(6,9]","Summer","180",5
"Bowron Pit","(6,9]","Summer","330",2
"Bowron Pit","(6,9]","Winter","0",22
"Bowron Pit","(6,9]","Winter","30",6
"Bowron Pit","(6,9]","Winter","60",3
"Bowron Pit","(6,9]","Winter","90",3
"Bowron Pit","(6,9]","Winter","120",67
"Bowron Pit","(6,9]","Winter","150",83
"Bowron Pit","(6,9]","Winter","180",15
"Bowron Pit","(6,9]","Winter","210",1
"Bowron Pit","(6,9]","Winter","330",11
"Bowron Pit","(3,6]","Summer","0",134
"Bowron Pit","(3,6]","Summer","30",109
"Bowron Pit","(3,6]","Summer","60",48
"Bowron Pit","(3,6]","Summer","90",36
"Bowron Pit","(3,6]","Summer","120",118
"Bowron Pit","(3,6]","Summer","150",124
"Bowron Pit","(3,6]","Summer","180",43
"Bowron Pit","(3,6]","Summer","210",14
"Bowron Pit","(3,6]","Summer","240",4
"Bowron Pit","(3,6]","Summer","300",8
"Bowron Pit","(3,6]","Summer","330",45
"Bowron Pit","(3,6]","Winter","0",96
"Bowron Pit","(3,6]","Winter","30",28
"Bowron Pit","(3,6]","Winter","60",26
"Bowron Pit","(3,6]","Winter","90",28
"Bowron Pit","(3,6]","Winter","120",300
"Bowron Pit","(3,6]","Winter","150",345
"Bowron Pit","(3,6]","Winter","180",107
"Bowron Pit","(3,6]","Winter","210",18
"Bowron Pit","(3,6]","Winter","240",19
"Bowron Pit","(3,6]","Winter","270",15
"Bowron Pit","(3,6]","Winter","300",31
"Bowron Pit","(3,6]","Winter","330",150
"Bowron Pit","(-Inf,3]","Summer","0",1115
"Bowron Pit","(-Inf,3]","Summer","30",563
"Bowron Pit","(-Inf,3]","Summer","60",364
"Bowron Pit","(-Inf,3]","Summer","90",585
"Bowron Pit","(-Inf,3]","Summer","120",1028
"Bowron Pit","(-Inf,3]","Summer","150",1024
"Bowron Pit","(-Inf,3]","Summer","180",621
"Bowron Pit","(-Inf,3]","Summer","210",310
"Bowron Pit","(-Inf,3]","Summer","240",254
"Bowron Pit","(-Inf,3]","Summer","270",304
"Bowron Pit","(-Inf,3]","Summer","300",365
"Bowron Pit","(-Inf,3]","Summer","330",597
"Bowron Pit","(-Inf,3]","Winter","0",671
"Bowron Pit","(-Inf,3]","Winter","30",401
"Bowron Pit","(-Inf,3]","Winter","60",471
"Bowron Pit","(-Inf,3]","Winter","90",700
"Bowron Pit","(-Inf,3]","Winter","120",1503
"Bowron Pit","(-Inf,3]","Winter","150",1511
"Bowron Pit","(-Inf,3]","Winter","180",835
"Bowron Pit","(-Inf,3]","Winter","210",470
"Bowron Pit","(-Inf,3]","Winter","240",338
"Bowron Pit","(-Inf,3]","Winter","270",527
"Bowron Pit","(-Inf,3]","Winter","300",1247
"Bowron Pit","(-Inf,3]","Winter","330",1019
"Bulkley PGTIS 1","(6,9]","Summer","0",8
"Bulkley PGTIS 1","(6,9]","Summer","60",1
"Bulkley PGTIS 1","(6,9]","Summer","120",3
"Bulkley PGTIS 1","(6,9]","Summer","150",2
"Bulkley PGTIS 1","(6,9]","Summer","270",2
"Bulkley PGTIS 1","(6,9]","Summer","300",3
"Bulkley PGTIS 1","(6,9]","Summer","330",35
"Bulkley PGTIS 1","(6,9]","Winter","0",18
"Bulkley PGTIS 1","(6,9]","Winter","120",39
"Bulkley PGTIS 1","(6,9]","Winter","150",694
"Bulkley PGTIS 1","(6,9]","Winter","180",37
"Bulkley PGTIS 1","(6,9]","Winter","240",5
"Bulkley PGTIS 1","(6,9]","Winter","270",7
"Bulkley PGTIS 1","(6,9]","Winter","300",12
"Bulkley PGTIS 1","(6,9]","Winter","330",114
"Bulkley PGTIS 1","(3,6]","Summer","0",337
"Bulkley PGTIS 1","(3,6]","Summer","30",69
"Bulkley PGTIS 1","(3,6]","Summer","60",27
"Bulkley PGTIS 1","(3,6]","Summer","90",113
"Bulkley PGTIS 1","(3,6]","Summer","120",426
"Bulkley PGTIS 1","(3,6]","Summer","150",434
"Bulkley PGTIS 1","(3,6]","Summer","180",56
"Bulkley PGTIS 1","(3,6]","Summer","210",147
"Bulkley PGTIS 1","(3,6]","Summer","240",204
"Bulkley PGTIS 1","(3,6]","Summer","270",263
"Bulkley PGTIS 1","(3,6]","Summer","300",513
"Bulkley PGTIS 1","(3,6]","Summer","330",825
"Bulkley PGTIS 1","(3,6]","Winter","0",160
"Bulkley PGTIS 1","(3,6]","Winter","30",20
"Bulkley PGTIS 1","(3,6]","Winter","60",19
"Bulkley PGTIS 1","(3,6]","Winter","90",110
"Bulkley PGTIS 1","(3,6]","Winter","120",1793
"Bulkley PGTIS 1","(3,6]","Winter","150",4390
"Bulkley PGTIS 1","(3,6]","Winter","180",438
"Bulkley PGTIS 1","(3,6]","Winter","210",142
"Bulkley PGTIS 1","(3,6]","Winter","240",200
"Bulkley PGTIS 1","(3,6]","Winter","270",208
"Bulkley PGTIS 1","(3,6]","Winter","300",886
"Bulkley PGTIS 1","(3,6]","Winter","330",1073
"Bulkley PGTIS 1","(-Inf,3]","Summer","0",3004
"Bulkley PGTIS 1","(-Inf,3]","Summer","30",2280
"Bulkley PGTIS 1","(-Inf,3]","Summer","60",3154
"Bulkley PGTIS 1","(-Inf,3]","Summer","90",3976
"Bulkley PGTIS 1","(-Inf,3]","Summer","120",5879
"Bulkley PGTIS 1","(-Inf,3]","Summer","150",3705
"Bulkley PGTIS 1","(-Inf,3]","Summer","180",2551
"Bulkley PGTIS 1","(-Inf,3]","Summer","210",2773
"Bulkley PGTIS 1","(-Inf,3]","Summer","240",2995
"Bulkley PGTIS 1","(-Inf,3]","Summer","270",5456
"Bulkley PGTIS 1","(-Inf,3]","Summer","300",7426
"Bulkley PGTIS 1","(-Inf,3]","Summer","330",5409
"Bulkley PGTIS 1","(-Inf,3]","Winter","0",3058
"Bulkley PGTIS 1","(-Inf,3]","Winter","30",1491
"Bulkley PGTIS 1","(-Inf,3]","Winter","60",1986
"Bulkley PGTIS 1","(-Inf,3]","Winter","90",3214
"Bulkley PGTIS 1","(-Inf,3]","Winter","120",7211
"Bulkley PGTIS 1","(-Inf,3]","Winter","150",6809
"Bulkley PGTIS 1","(-Inf,3]","Winter","180",3246
"Bulkley PGTIS 1","(-Inf,3]","Winter","210",2726
"Bulkley PGTIS 1","(-Inf,3]","Winter","240",2824
"Bulkley PGTIS 1","(-Inf,3]","Winter","270",4725
"Bulkley PGTIS 1","(-Inf,3]","Winter","300",10134
"Bulkley PGTIS 1","(-Inf,3]","Winter","330",8725
"Canoe","(9, Inf]","Summer","0",1128
"Canoe","(9, Inf]","Summer","30",1207
"Canoe","(9, Inf]","Summer","60",646
"Canoe","(9, Inf]","Summer","90",329
"Canoe","(9, Inf]","Summer","120",806
"Canoe","(9, Inf]","Summer","150",5413
"Canoe","(9, Inf]","Summer","180",5534
"Canoe","(9, Inf]","Summer","210",1700
"Canoe","(9, Inf]","Summer","240",674
"Canoe","(9, Inf]","Summer","270",213
"Canoe","(9, Inf]","Summer","300",117
"Canoe","(9, Inf]","Summer","330",303
"Canoe","(9, Inf]","Winter","0",843
"Canoe","(9, Inf]","Winter","30",870
"Canoe","(9, Inf]","Winter","60",648
"Canoe","(9, Inf]","Winter","90",327
"Canoe","(9, Inf]","Winter","120",641
"Canoe","(9, Inf]","Winter","150",7236
"Canoe","(9, Inf]","Winter","180",6182
"Canoe","(9, Inf]","Winter","210",812
"Canoe","(9, Inf]","Winter","240",260
"Canoe","(9, Inf]","Winter","270",73
"Canoe","(9, Inf]","Winter","300",32
"Canoe","(9, Inf]","Winter","330",126
"Canoe","(6,9]","Summer","0",245
"Canoe","(6,9]","Summer","30",260
"Canoe","(6,9]","Summer","60",122
"Canoe","(6,9]","Summer","90",89
"Canoe","(6,9]","Summer","120",202
"Canoe","(6,9]","Summer","150",288
"Canoe","(6,9]","Summer","180",200
"Canoe","(6,9]","Summer","210",146
"Canoe","(6,9]","Summer","240",128
"Canoe","(6,9]","Summer","270",83
"Canoe","(6,9]","Summer","300",86
"Canoe","(6,9]","Summer","330",120
"Canoe","(6,9]","Winter","0",116
"Canoe","(6,9]","Winter","30",188
"Canoe","(6,9]","Winter","60",88
"Canoe","(6,9]","Winter","90",86
"Canoe","(6,9]","Winter","120",143
"Canoe","(6,9]","Winter","150",270
"Canoe","(6,9]","Winter","180",139
"Canoe","(6,9]","Winter","210",50
"Canoe","(6,9]","Winter","240",40
"Canoe","(6,9]","Winter","270",26
"Canoe","(6,9]","Winter","300",11
"Canoe","(6,9]","Winter","330",32
"Canoe","(3,6]","Summer","0",151
"Canoe","(3,6]","Summer","30",151
"Canoe","(3,6]","Summer","60",104
"Canoe","(3,6]","Summer","90",117
"Canoe","(3,6]","Summer","120",202
"Canoe","(3,6]","Summer","150",156
"Canoe","(3,6]","Summer","180",94
"Canoe","(3,6]","Summer","210",74
"Canoe","(3,6]","Summer","240",91
"Canoe","(3,6]","Summer","270",75
"Canoe","(3,6]","Summer","300",76
"Canoe","(3,6]","Summer","330",99
"Canoe","(3,6]","Winter","0",109
"Canoe","(3,6]","Winter","30",147
"Canoe","(3,6]","Winter","60",129
"Canoe","(3,6]","Winter","90",123
"Canoe","(3,6]","Winter","120",168
"Canoe","(3,6]","Winter","150",223
"Canoe","(3,6]","Winter","180",111
"Canoe","(3,6]","Winter","210",41
"Canoe","(3,6]","Winter","240",28
"Canoe","(3,6]","Winter","270",24
"Canoe","(3,6]","Winter","300",23
"Canoe","(3,6]","Winter","330",44
"Canoe","(-Inf,3]","Summer","0",241
"Canoe","(-Inf,3]","Summer","30",161
"Canoe","(-Inf,3]","Summer","60",103
"Canoe","(-Inf,3]","Summer","90",110
"Canoe","(-Inf,3]","Summer","120",159
"Canoe","(-Inf,3]","Summer","150",174
"Canoe","(-Inf,3]","Summer","180",108
"Canoe","(-Inf,3]","Summer","210",47
"Canoe","(-Inf,3]","Summer","240",49
"Canoe","(-Inf,3]","Summer","270",47
"Canoe","(-Inf,3]","Summer","300",61
"Canoe","(-Inf,3]","Summer","330",108
"Canoe","(-Inf,3]","Winter","0",658
"Canoe","(-Inf,3]","Winter","30",457
"Canoe","(-Inf,3]","Winter","60",557
"Canoe","(-Inf,3]","Winter","90",522
"Canoe","(-Inf,3]","Winter","120",569
"Canoe","(-Inf,3]","Winter","150",4287
"Canoe","(-Inf,3]","Winter","180",1972
"Canoe","(-Inf,3]","Winter","210",224
"Canoe","(-Inf,3]","Winter","240",97
"Canoe","(-Inf,3]","Winter","270",183
"Canoe","(-Inf,3]","Winter","300",48
"Canoe","(-Inf,3]","Winter","330",173
"Chapman","(9, Inf]","Summer","240",2
"Chapman","(9, Inf]","Summer","270",1
"Chapman","(9, Inf]","Summer","300",1
"Chapman","(6,9]","Summer","240",1
"Chapman","(6,9]","Summer","270",1
"Chapman","(6,9]","Summer","300",2
"Chapman","(3,6]","Summer","0",3
"Chapman","(3,6]","Summer","60",1
"Chapman","(3,6]","Summer","90",1
"Chapman","(3,6]","Summer","120",1
"Chapman","(3,6]","Summer","180",1
"Chapman","(3,6]","Summer","210",10
"Chapman","(3,6]","Summer","240",31
"Chapman","(3,6]","Summer","270",46
"Chapman","(3,6]","Summer","300",49
"Chapman","(3,6]","Summer","330",7
"Chapman","(-Inf,3]","Summer","0",51
"Chapman","(-Inf,3]","Summer","30",61
"Chapman","(-Inf,3]","Summer","60",109
"Chapman","(-Inf,3]","Summer","90",40
"Chapman","(-Inf,3]","Summer","120",29
"Chapman","(-Inf,3]","Summer","150",35
"Chapman","(-Inf,3]","Summer","180",40
"Chapman","(-Inf,3]","Summer","210",69
"Chapman","(-Inf,3]","Summer","240",176
"Chapman","(-Inf,3]","Summer","270",301
"Chapman","(-Inf,3]","Summer","300",190
"Chapman","(-Inf,3]","Summer","330",85
"ChiefLk","(9, Inf]","Winter","0",14
"ChiefLk","(6,9]","Summer","240",1
"ChiefLk","(6,9]","Winter","0",52
"ChiefLk","(6,9]","Winter","210",1
"ChiefLk","(6,9]","Winter","330",8
"ChiefLk","(3,6]","Summer","0",67
"ChiefLk","(3,6]","Summer","30",3
"ChiefLk","(3,6]","Summer","60",7
"ChiefLk","(3,6]","Summer","90",6
"ChiefLk","(3,6]","Summer","120",3
"ChiefLk","(3,6]","Summer","150",5
"ChiefLk","(3,6]","Summer","180",4
"ChiefLk","(3,6]","Summer","210",38
"ChiefLk","(3,6]","Summer","240",5
"ChiefLk","(3,6]","Summer","270",1
"ChiefLk","(3,6]","Summer","330",39
"ChiefLk","(3,6]","Winter","0",136
"ChiefLk","(3,6]","Winter","120",19
"ChiefLk","(3,6]","Winter","150",23
"ChiefLk","(3,6]","Winter","180",3
"ChiefLk","(3,6]","Winter","210",40
"ChiefLk","(3,6]","Winter","240",11
"ChiefLk","(3,6]","Winter","270",10
"ChiefLk","(3,6]","Winter","300",2
"ChiefLk","(3,6]","Winter","330",186
"ChiefLk","(-Inf,3]","Summer","0",368
"ChiefLk","(-Inf,3]","Summer","30",280
"ChiefLk","(-Inf,3]","Summer","60",637
"ChiefLk","(-Inf,3]","Summer","90",993
"ChiefLk","(-Inf,3]","Summer","120",573
"ChiefLk","(-Inf,3]","Summer","150",570
"ChiefLk","(-Inf,3]","Summer","180",988
"ChiefLk","(-Inf,3]","Summer","210",1761
"ChiefLk","(-Inf,3]","Summer","240",1055
"ChiefLk","(-Inf,3]","Summer","270",518
"ChiefLk","(-Inf,3]","Summer","300",399
"ChiefLk","(-Inf,3]","Summer","330",919
"ChiefLk","(-Inf,3]","Winter","0",466
"ChiefLk","(-Inf,3]","Winter","30",405
"ChiefLk","(-Inf,3]","Winter","60",1325
"ChiefLk","(-Inf,3]","Winter","90",1448
"ChiefLk","(-Inf,3]","Winter","120",859
"ChiefLk","(-Inf,3]","Winter","150",684
"ChiefLk","(-Inf,3]","Winter","180",774
"ChiefLk","(-Inf,3]","Winter","210",1190
"ChiefLk","(-Inf,3]","Winter","240",734
"ChiefLk","(-Inf,3]","Winter","270",369
"ChiefLk","(-Inf,3]","Winter","300",282
"ChiefLk","(-Inf,3]","Winter","330",1159
"Coalmine","(-Inf,3]","Summer","0",380
"Coalmine","(-Inf,3]","Summer","30",269
"Coalmine","(-Inf,3]","Summer","60",380
"Coalmine","(-Inf,3]","Summer","90",806
"Coalmine","(-Inf,3]","Summer","120",2051
"Coalmine","(-Inf,3]","Summer","150",2510
"Coalmine","(-Inf,3]","Summer","180",744
"Coalmine","(-Inf,3]","Summer","210",362
"Coalmine","(-Inf,3]","Summer","240",466
"Coalmine","(-Inf,3]","Summer","270",989
"Coalmine","(-Inf,3]","Summer","300",1271
"Coalmine","(-Inf,3]","Summer","330",788
"Coalmine","(-Inf,3]","Winter","0",240
"Coalmine","(-Inf,3]","Winter","30",218
"Coalmine","(-Inf,3]","Winter","60",336
"Coalmine","(-Inf,3]","Winter","90",763
"Coalmine","(-Inf,3]","Winter","120",3117
"Coalmine","(-Inf,3]","Winter","150",5614
"Coalmine","(-Inf,3]","Winter","180",851
"Coalmine","(-Inf,3]","Winter","210",451
"Coalmine","(-Inf,3]","Winter","240",553
"Coalmine","(-Inf,3]","Winter","270",1080
"Coalmine","(-Inf,3]","Winter","300",1257
"Coalmine","(-Inf,3]","Winter","330",808
"CPF PGTIS 3","(9, Inf]","Winter","0",1
"CPF PGTIS 3","(9, Inf]","Winter","150",1
"CPF PGTIS 3","(6,9]","Summer","120",6
"CPF PGTIS 3","(6,9]","Summer","150",3
"CPF PGTIS 3","(6,9]","Summer","270",1
"CPF PGTIS 3","(6,9]","Summer","300",1
"CPF PGTIS 3","(6,9]","Winter","0",1
"CPF PGTIS 3","(6,9]","Winter","120",344
"CPF PGTIS 3","(6,9]","Winter","150",499
"CPF PGTIS 3","(6,9]","Winter","270",4
"CPF PGTIS 3","(6,9]","Winter","330",1
"CPF PGTIS 3","(3,6]","Summer","0",53
"CPF PGTIS 3","(3,6]","Summer","30",1
"CPF PGTIS 3","(3,6]","Summer","90",112
"CPF PGTIS 3","(3,6]","Summer","120",783
"CPF PGTIS 3","(3,6]","Summer","150",310
"CPF PGTIS 3","(3,6]","Summer","180",52
"CPF PGTIS 3","(3,6]","Summer","210",56
"CPF PGTIS 3","(3,6]","Summer","240",80
"CPF PGTIS 3","(3,6]","Summer","270",293
"CPF PGTIS 3","(3,6]","Summer","300",175
"CPF PGTIS 3","(3,6]","Summer","330",100
"CPF PGTIS 3","(3,6]","Winter","0",49
"CPF PGTIS 3","(3,6]","Winter","30",2
"CPF PGTIS 3","(3,6]","Winter","60",4
"CPF PGTIS 3","(3,6]","Winter","90",186
"CPF PGTIS 3","(3,6]","Winter","120",4854
"CPF PGTIS 3","(3,6]","Winter","150",2458
"CPF PGTIS 3","(3,6]","Winter","180",81
"CPF PGTIS 3","(3,6]","Winter","210",67
"CPF PGTIS 3","(3,6]","Winter","240",83
"CPF PGTIS 3","(3,6]","Winter","270",274
"CPF PGTIS 3","(3,6]","Winter","300",290
"CPF PGTIS 3","(3,6]","Winter","330",190
"CPF PGTIS 3","(-Inf,3]","Summer","0",1827
"CPF PGTIS 3","(-Inf,3]","Summer","30",2678
"CPF PGTIS 3","(-Inf,3]","Summer","60",2717
