"Site","years","annual","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg","WC_avg_15cm","WC_avg_5cm","WC_avg_30cm","ST_avg","W_avg","SD_avg"
"Bednesti Tamarac","2021","obs_na",7,0,0,7,163,7,7,7,163,0,163,0,0,0,0,163,163
"Bednesti Tamarac","2022","mean",4.02,-1.07,9.12,0.94,NA,72.52,-1.06,1.13,NA,6.98,NA,0.11,0.16,0.12,6.24,NA,NA
"Bednesti Tamarac","2022","max",24.29,17.51,32.51,22.6,-Inf,98.04,14.73,4.95,-Inf,16.62,-Inf,0.17,0.29,0.22,17.91,-Inf,-Inf
"Bednesti Tamarac","2022","min",-33.18,-37.92,-27.96,0,Inf,37.3,-36.05,0.01,Inf,2.27,Inf,0.04,0.06,0.04,-0.34,Inf,Inf
"Bednesti Tamarac","2022","obs_na",0,0,0,0,365,0,0,0,365,0,365,0,0,0,0,365,365
"Bednesti Tamarac","2023","mean",7.56,1.87,13.35,0.82,NA,67.55,1.1,1.14,NA,6.99,NA,0.1,0.12,0.07,7.87,NA,NA
"Bednesti Tamarac","2023","max",22.17,15.53,31.43,25.6,-Inf,97.61,12.87,3.54,-Inf,16.62,-Inf,0.19,0.33,0.63,16.52,-Inf,-Inf
"Bednesti Tamarac","2023","min",-22.78,-31.05,-17.68,0,Inf,36.95,-27.02,0.02,Inf,2.27,Inf,0.06,0.06,0.03,0.61,Inf,Inf
"Bednesti Tamarac","2023","obs_na",0,0,0,0,277,0,0,0,277,0,277,36,36,0,0,277,277
"Blackhawk","2012","mean",3.67,-3.47,9.93,1.1,901.68,72.85,-1.87,1.6,8.17,8.27,126.85,NA,NA,NA,NA,NA,NA
"Blackhawk","2012","max",21.47,12.82,31.41,25.2,918.48,99.66,12.68,5.56,89.63,21.34,318.95,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Blackhawk","2012","min",-29.59,-34.84,-24.71,0,881.1,39.08,-31.64,0.02,270.66,1.11,4.88,Inf,Inf,Inf,Inf,Inf,Inf
"Blackhawk","2012","obs_na",0,0,0,0,0,0,0,0,0,0,0,221,221,221,221,221,221
"Blackhawk","2013","mean",2.4,-4.65,8.46,0.84,902.5,74.51,-2.47,1.71,18.41,8.6,117.16,NA,NA,NA,NA,NA,NA
"Blackhawk","2013","max",21.25,13.71,32.43,14.8,920.22,98.31,13.22,6.79,89.14,20.97,329.99,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Blackhawk","2013","min",-31.17,-35.79,-24.6,0,879.11,32.74,-33.32,0.09,271.37,1.48,5.19,Inf,Inf,Inf,Inf,Inf,Inf
"Blackhawk","2013","obs_na",0,0,0,0,0,0,0,0,0,0,0,365,365,365,365,365,365
"Blackhawk","2014","mean",1.62,-6.06,8.38,0.67,901.91,73.39,-3.51,1.15,12.42,7.91,123.92,NA,NA,NA,NA,NA,NA
"Blackhawk","2014","max",22.07,13.64,33,38.4,928.41,99.87,12.38,5.78,69.04,25.42,341.03,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Blackhawk","2014","min",-31.3,-42.32,-22.88,0,873.73,40.08,-36.16,0,286.71,0,5.35,Inf,Inf,Inf,Inf,Inf,Inf
"Blackhawk","2014","obs_na",0,0,0,0,0,0,0,0,351,0,0,365,365,365,365,365,365
"Blackhawk","2015","mean",3.06,-4,9.19,1.15,901.66,74.58,-1.84,1.11,27.19,7.96,124.8,NA,NA,NA,NA,NA,NA
"Blackhawk","2015","max",21.29,13.67,29.14,53.01,923.82,99.77,13.52,4.63,87.8,17.88,342.18,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Blackhawk","2015","min",-29.85,-38.01,-22.22,0,881.29,37.23,-31.76,0,280.96,0,2.22,Inf,Inf,Inf,Inf,Inf,Inf
"Blackhawk","2015","obs_na",0,0,0,0,0,0,0,0,231,0,0,365,365,365,365,365,365
"Blackhawk","2016","mean",2.71,-3.81,8.71,1.64,901.45,78.19,-1.53,0.79,20.67,6.81,118.48,NA,NA,NA,NA,NA,15.2
"Blackhawk","2016","max",18.69,13.86,27.92,56.8,923.03,100,13.94,3.98,89.73,16.87,335.14,-Inf,-Inf,-Inf,-Inf,-Inf,28.78
"Blackhawk","2016","min",-29.39,-33.53,-25.73,0,879.23,35.16,-31.34,0,270.49,0,3.05,Inf,Inf,Inf,Inf,Inf,4.5
"Blackhawk","2016","obs_na",0,0,0,0,0,0,0,0,0,0,0,366,366,366,366,366,300
"Blackhawk","2017","mean",1.74,-5.42,8.04,1.14,901.69,76.29,-2.78,0.91,22.67,7.71,122.31,0.06,NA,NA,NA,NA,11.34
"Blackhawk","2017","max",18.53,10.52,30.29,29.2,920.02,100,11.78,3.87,89.97,18.13,353.38,0.08,-Inf,-Inf,-Inf,-Inf,42.2
"Blackhawk","2017","min",-35.55,-40.06,-27.21,0,874.88,38.98,-38.1,0,270.38,0,4.2,0,Inf,Inf,Inf,Inf,0
"Blackhawk","2017","obs_na",0,0,0,0,0,0,0,0,0,0,0,209,365,365,365,365,7
"Blackhawk","2018","mean",1.42,-5.91,7.67,0.72,902.44,76.66,-3.11,0.89,25.36,7.41,119.25,0.08,NA,NA,NA,NA,20.44
"Blackhawk","2018","max",20.87,18.01,30.77,18.2,916.64,100,13.9,4.32,89.44,15.86,338.43,0.26,-Inf,-Inf,-Inf,-Inf,99.99
"Blackhawk","2018","min",-33.68,-40.71,-26.14,0,880.92,30.69,-35.87,0,271.55,0.25,2.79,0,Inf,Inf,Inf,Inf,0
"Blackhawk","2018","obs_na",0,0,0,0,0,0,0,0,0,0,0,23,365,365,365,365,5
"Blackhawk","2019","mean",1.19,-5.82,7.4,1.27,902.45,78.43,-2.8,0.78,21.88,7,112.19,0.11,NA,NA,NA,NA,11.78
"Blackhawk","2019","max",19.84,11.78,27.65,34.2,925.15,100,13.9,4.25,89.2,16.37,348.22,0.2,-Inf,-Inf,-Inf,-Inf,59.97
"Blackhawk","2019","min",-37.25,-45.28,-27.21,0,882.44,32.53,-39.77,0,270.09,0,5.86,0.04,Inf,Inf,Inf,Inf,0
"Blackhawk","2019","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,365,10
"Blackhawk","2020","mean",1.34,-6.08,7.38,1.03,900.85,75.38,-3.19,1.01,25.03,8.17,118.31,0.1,NA,NA,NA,NA,11.31
"Blackhawk","2020","max",19.25,13.33,29.97,44.6,923.04,99.97,17.14,3.52,89.83,19.14,331.25,0.25,-Inf,-Inf,-Inf,-Inf,55.19
"Blackhawk","2020","min",-36.74,-44.87,-31.26,0,878.19,44.2,-39.13,0,270.3,1.26,3.43,0.02,Inf,Inf,Inf,Inf,0
"Blackhawk","2020","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,366,366,366,366,5
"Blackhawk","2021","mean",1.52,-6.43,8.14,0.95,900.21,74.59,-3.32,1.02,26.3,7.81,125.24,0.09,NA,NA,NA,NA,8.35
"Blackhawk","2021","max",28.2,17.8,39.86,38.41,926.06,100,17.01,3.82,89.97,17.88,336.82,0.16,-Inf,-Inf,-Inf,-Inf,34.53
"Blackhawk","2021","min",-37.45,-45.14,-29.06,0,871.9,42.85,-39.82,0,270.9,0.25,3.16,0.02,Inf,Inf,Inf,Inf,0
"Blackhawk","2021","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,365,11
"Blackhawk","2022","mean",1.51,-6.43,8.28,0.82,902.53,74.77,-3.29,0.99,18.78,7.54,120.89,0.08,NA,NA,NA,NA,11.56
"Blackhawk","2022","max",21.38,15.82,33.05,20.6,929.98,99.84,14.87,4.24,89.1,17.63,336.3,0.19,-Inf,-Inf,-Inf,-Inf,46.44
"Blackhawk","2022","min",-41.05,-46.42,-31.77,0,876.93,31.73,-43.78,0,270.42,0,2.9,0,Inf,Inf,Inf,Inf,0
"Blackhawk","2022","obs_na",0,0,0,0,0,0,0,0,0,0,0,13,365,365,365,365,12
"Blackhawk","2023","mean",3.37,-4.97,10.64,0.97,900.9,75.51,-1.42,0.78,20.02,7.03,119.15,0.09,NA,NA,NA,NA,11.34
"Blackhawk","2023","max",21.05,13.11,32.41,36.61,923.12,99.91,13.33,3.06,88.61,17.12,335.98,0.19,-Inf,-Inf,-Inf,-Inf,51.01
"Blackhawk","2023","min",-29.7,-40.6,-22.63,0,880.25,37.4,-31.68,0,270.85,0.76,5.92,0,Inf,Inf,Inf,Inf,0
"Blackhawk","2023","obs_na",0,0,0,0,0,0,0,0,0,0,0,52,365,365,365,365,0
"Blackhawk","2024","mean",-9.22,-14.63,-1.77,0,901.7,90.28,-10.61,0.16,333.16,3.9,19.66,0.05,NA,NA,NA,NA,0.94
"Blackhawk","2024","max",-5.81,-10.69,1.64,0,905.52,94.08,-7.8,0.63,32.76,8.56,27.79,0.05,-Inf,-Inf,-Inf,-Inf,1.74
"Blackhawk","2024","min",-13.68,-20.55,-7.74,0,895.9,86.85,-14.84,0,298.28,1.26,14.15,0.05,Inf,Inf,Inf,Inf,0
"Blackhawk","2024","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0
"Boulder Creek","2010","mean",1.18,-2.8,5.02,0,962.5,85.67,-1.42,0.61,359.17,-Inf,82.47,NA,NA,NA,NA,NA,NA
"Boulder Creek","2010","max",16.63,12.16,25.56,0,978.23,100,12.38,1.01,71.42,7.98,360.47,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Boulder Creek","2010","min",-18.3,-24.29,-12.88,0,935.37,56.02,-20.39,0.15,293.36,-Inf,1.55,Inf,Inf,Inf,Inf,Inf,Inf
"Boulder Creek","2010","obs_na",0,0,0,0,0,0,0,79,79,0,0,107,107,107,107,107,107
"Boulder Creek","2011","mean",3.64,-0.63,8.35,0.35,962.96,84.69,0.82,0.35,345.55,-Inf,66.41,NA,NA,NA,NA,49.3,NA
"Boulder Creek","2011","max",19.41,14.85,27.91,11,986.87,100,15.72,1.13,89.15,10.02,310.62,-Inf,-Inf,-Inf,-Inf,95.29,-Inf
"Boulder Creek","2011","min",-18.27,-26.1,-16.68,0,935,43.65,-26.88,0,291.09,-Inf,1.54,Inf,Inf,Inf,Inf,6.44,Inf
"Boulder Creek","2011","obs_na",0,0,0,171,0,0,0,193,193,0,250,365,365,365,365,193,365
"Boulder Creek","2012","mean",1.69,-3.09,6.86,3.2,961.12,79.63,-2.25,0.27,347.89,4.39,121.18,NA,NA,NA,NA,33.69,NA
"Boulder Creek","2012","max",14.01,9.03,23.63,3.2,982.61,100,10.53,1.06,87.84,12.06,341.4,-Inf,-Inf,-Inf,-Inf,99.75,-Inf
"Boulder Creek","2012","min",-32.48,-36.46,-24.3,3.2,936.69,46.69,-35.87,0,278.62,0,3.63,Inf,Inf,Inf,Inf,0.47,Inf
"Boulder Creek","2012","obs_na",0,0,0,166,0,0,0,0,0,0,0,167,167,167,167,0,167
"Boulder Creek","2013","mean",-2.03,-4.63,0.75,1.61,968,97.92,-2.34,0.15,0.33,2.09,22.68,NA,NA,NA,NA,63.71,NA
"Boulder Creek","2013","max",8.22,5.4,14.09,17.2,988.33,100,8,0.82,89.9,6.86,152.13,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2013","min",-21.13,-24.3,-15.36,0,947.28,78.49,-22.43,0,270.95,0,2.69,Inf,Inf,Inf,Inf,4.09,Inf
"Boulder Creek","2013","obs_na",0,0,0,0,0,0,0,0,0,0,0,76,76,76,76,0,76
"Boulder Creek","2014","mean",4.59,-0.58,10.11,1.47,964.69,85.13,1.53,0.46,6.09,4.01,121.86,NA,NA,NA,NA,42.13,NA
"Boulder Creek","2014","max",22.13,13.32,33.59,23.2,997.32,100,14.97,1.79,89.8,15.21,368.27,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2014","min",-23.33,-30.17,-15.36,0,936.59,26,-27.24,0,270.02,0,2.54,Inf,Inf,Inf,Inf,0.22,Inf
"Boulder Creek","2014","obs_na",0,0,0,0,0,0,0,0,0,0,0,365,365,365,365,0,365
"Boulder Creek","2015","mean",5.3,0.62,10.48,1.47,964.73,89.61,3.07,0.4,4.26,3.71,113.99,NA,NA,NA,NA,47.88,NA
"Boulder Creek","2015","max",23.51,16,34.43,39.4,985.55,100,15.6,1.47,89.98,11.87,352.71,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2015","min",-15.16,-20.24,-11.7,0,936.67,49.24,-18.82,0,270.08,0,3.01,Inf,Inf,Inf,Inf,2.13,Inf
"Boulder Creek","2015","obs_na",0,0,0,0,0,0,0,0,0,0,0,365,365,365,365,0,365
"Boulder Creek","2016","mean",5.55,1,10.64,1.61,963.83,88.99,2.36,0.42,2.94,4.01,109.97,NA,NA,NA,NA,48.53,NA
"Boulder Creek","2016","max",20.33,15.13,29.57,32.8,988.23,100,15.07,1.39,89.97,14.1,344.74,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2016","min",-23.43,-26.91,-19.15,0,937.67,29.5,-25.11,0,270.73,0,3.57,Inf,Inf,Inf,Inf,1.47,Inf
"Boulder Creek","2016","obs_na",0,0,0,0,0,0,0,0,0,0,0,366,366,366,366,0,366
"Boulder Creek","2017","mean",3.79,-1.03,9.14,1.6,964.46,83.45,0.69,0.34,358.92,3.69,96.04,0.02,NA,NA,NA,45.25,NA
"Boulder Creek","2017","max",20.54,13.21,32.2,49.6,989.17,100,15.26,1.65,89.8,12.06,340.99,0.08,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2017","min",-23.15,-27.65,-18.74,0,931.48,50.75,-24.58,0,270.5,0,0.6,0,Inf,Inf,Inf,0,Inf
"Boulder Creek","2017","obs_na",0,0,0,0,0,0,0,0,0,0,83,181,365,365,365,0,365
"Boulder Creek","2018","mean",4.77,-0.49,10.35,0.89,965.31,81.12,1.1,0.37,357.39,4.03,118.74,0.07,NA,NA,NA,41.15,NA
"Boulder Creek","2018","max",23.98,14.77,35.85,18.8,985.52,100,14.78,1.89,89.96,9.83,357.23,0.23,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","2018","min",-21.36,-27.96,-15.38,0,940.49,46.61,-23.42,0,270.03,0,1.65,0,Inf,Inf,Inf,0,Inf
"Boulder Creek","2018","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,0,365
"Boulder Creek","2019","mean",4.43,-0.56,10.02,1.42,965.3,84.76,1.56,0.29,350.67,3.81,113.22,0.17,NA,NA,NA,49.24,NA
