"Site","years","annual","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg","WC_avg_15cm","WC_avg_5cm","WC_avg_30cm","ST_avg","W_avg","SD_avg"
"Atlin Monarch Mt","2010","mean",-4.83,-6.92,-2.62,1,NA,88.29,-6.61,2.55,10.38,8.16,53.84,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2010","max",8.16,5.13,11.42,24.2,-Inf,100,4.55,8.96,88.57,22.26,233.38,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2010","min",-25.57,-27.9,-23.62,0,Inf,57.69,-27.42,0,273.83,0,1.6,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2010","obs_na",0,0,0,0,136,0,0,0,0,0,0,136,136,136,136,136,136
"Atlin Monarch Mt","2011","mean",-3.44,-5.99,-0.66,0.49,NA,82.5,-6.3,2.93,8.32,8.93,122.05,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2011","max",15.61,11.22,21.22,15.6,-Inf,100,8.06,8.23,89.68,39.33,354.33,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2011","min",-32.62,-33.38,-31.85,0,Inf,32.55,-34.84,0,270.15,0,3.47,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2011","obs_na",0,0,0,0,365,0,0,0,27,0,5,365,365,365,365,365,365
"Atlin Monarch Mt","2012","mean",-3.83,-6.44,-1.02,0.45,NA,83.86,-6.38,0.18,NA,4.56,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2012","max",17.05,13.31,20.98,11.4,-Inf,100,8.36,1.23,-Inf,17.07,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","min",-31.38,-32.91,-29.52,0,Inf,44.5,-33.58,0,Inf,0.37,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","obs_na",0,0,0,0,366,0,0,320,366,320,366,366,366,366,366,366,366
"Atlin Monarch Mt","2013","mean",-0.92,-3.95,2.22,0.51,NA,78.92,-4.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2013","max",17.98,14.96,21.82,18,-Inf,98.65,8.98,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","min",-34.72,-36.15,-33.06,0,Inf,42.09,-37.13,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","obs_na",136,136,136,131,365,136,136,365,365,365,365,365,365,365,365,365,365
"Atlin Monarch Mt","2014","mean",NA,NA,NA,0.65,NA,NA,NA,2.14,NA,7.64,60.04,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2014","max",-Inf,-Inf,-Inf,12.4,-Inf,-Inf,-Inf,5.6,-Inf,15.77,226.71,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2014","min",Inf,Inf,Inf,0,Inf,Inf,Inf,0,Inf,0,4.93,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2014","obs_na",365,365,365,226,365,365,365,226,365,226,226,365,365,365,365,365,365
"Atlin Monarch Mt","2015","mean",NA,NA,NA,0.64,NA,NA,NA,2.58,NA,7.68,122.09,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2015","max",-Inf,-Inf,-Inf,18,-Inf,-Inf,-Inf,9.57,-Inf,20.22,361.61,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2015","min",Inf,Inf,Inf,0,Inf,Inf,Inf,0,Inf,0,4.15,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2015","obs_na",365,365,365,0,365,365,365,251,365,251,0,365,365,365,365,365,365
"Atlin Monarch Mt","2016","mean",NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,160.68,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2016","max",-Inf,-Inf,-Inf,12,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,383.07,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2016","min",Inf,Inf,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,5.7,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2016","obs_na",366,366,366,141,366,366,366,366,366,366,141,366,366,366,366,366,366
"Atlin Monarch Mt","2017","mean",-3.49,-5.73,-0.9,0.43,855.62,84.63,-5.93,2.39,39.42,8.46,64.31,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2017","max",13.61,9.09,18.34,12.6,1054.8,99.7,8.51,6.54,89.63,17.61,214.93,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2017","min",-25.76,-27.52,-24,0,803.8,39.4,-30.52,0,271.87,0,3.88,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2017","obs_na",227,227,227,227,227,227,227,227,227,227,227,365,365,365,365,365,365
"Atlin Monarch Mt","2018","mean",-1.65,-4.57,1.56,0.36,853.72,76.57,-5.74,2.41,30.82,8.43,169.21,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2018","max",18.86,14.43,22.92,10.6,870.5,98.36,8.17,7.07,88.98,21.14,395.78,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2018","min",-28.81,-30.41,-26.55,0,832.7,30.68,-30.74,0,270.24,0,5.14,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2018","obs_na",0,0,0,0,0,0,0,0,0,0,0,230,230,230,230,230,230
"Atlin School","2010","mean",-1.48,-4.75,2,0.91,NA,NA,NA,0.24,6.13,3.11,22.07,NA,NA,NA,NA,NA,NA
"Atlin School","2010","max",10.26,7.62,18.03,11.4,-Inf,-Inf,-Inf,0.94,86.57,6.68,109.73,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","2010","min",-24.24,-27.58,-20.6,0,Inf,Inf,Inf,0,271.13,0.56,0.86,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","2010","obs_na",0,0,0,0,134,134,134,0,0,0,0,134,134,134,134,134,134
"Atlin School","2011","mean",0.39,-4.09,4.94,0.47,NA,78.32,-2.11,0.38,19.96,3.7,53,NA,NA,NA,NA,NA,NA
"Atlin School","2011","max",18.57,11.9,27.38,11.2,-Inf,97.49,10.88,1.33,89.44,9.28,178.01,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","2011","min",-30.27,-33.61,-26.14,0,Inf,52.43,-26.43,0,271.07,0,1.03,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","2011","obs_na",0,0,0,0,365,208,208,0,0,0,0,365,365,365,365,365,365
"Atlin School","2012","mean",-0.47,-4.86,4.09,0.33,NA,74.73,-4.97,0.34,12.6,3.53,55.7,NA,NA,NA,NA,NA,NA
"Atlin School","2012","max",17.86,11.24,26.4,12,-Inf,99.27,10.31,1.05,89.38,7.24,177.81,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","2012","min",-31.4,-34.47,-27.09,0,Inf,49.95,-34.61,0,270.84,0,0.81,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","2012","obs_na",0,0,0,0,366,0,0,0,0,0,0,366,366,366,366,366,366
"Atlin School","2013","mean",-1.38,-5.74,3.03,0.38,NA,75.03,-5.83,0.33,8.97,3.58,46.56,NA,NA,NA,NA,NA,NA
"Atlin School","2013","max",18.24,12.76,26.48,38,-Inf,97.57,11.1,1.63,89.58,12.99,189.1,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","2013","min",-29.21,-33.26,-26.67,0,Inf,40.22,-32.82,0,271.29,0,0.65,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","2013","obs_na",59,59,59,59,365,59,59,59,59,59,59,365,365,365,365,365,365
"Atlin School","2014","mean",1.11,-3.3,5.73,0.49,NA,76.06,-3.34,0.28,13.43,3.3,55.86,NA,NA,NA,NA,NA,NA
"Atlin School","2014","max",17.25,13.49,24.63,14.8,-Inf,99.92,12.5,1.11,89.92,9.65,180.37,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","2014","min",-25.55,-30.48,-21.54,0,Inf,35.31,-28.32,0,271.37,0,0.87,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","2014","obs_na",0,0,0,0,365,0,0,0,0,0,0,365,365,365,365,365,365
"Atlin School","2015","mean",2.45,-1.64,6.77,0.51,NA,75.77,-2.07,0.34,9.33,3.3,51.28,NA,NA,NA,NA,NA,NA
"Atlin School","2015","max",18.8,13.43,25.77,16.2,-Inf,99.98,10.38,1.96,88.15,10.58,170,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","2015","min",-27.3,-31.52,-24.93,0,Inf,37.79,-29.44,0,270.79,0,0.76,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","2015","obs_na",0,0,0,0,365,0,0,0,0,0,0,365,365,365,365,365,365
"Atlin School","2016","mean",2.88,-1.05,7.07,0.46,NA,77.29,-1.3,0.27,9.48,3.25,48.67,NA,NA,NA,NA,NA,NA
"Atlin School","2016","max",18.75,13.53,25.77,19.4,-Inf,98.78,13.94,1,89.73,7.05,168.06,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","2016","min",-24.74,-27.25,-20.76,0,Inf,36.8,-26.91,0,271.31,0,0.86,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","2016","obs_na",0,0,0,0,366,0,0,0,0,0,0,366,366,366,366,366,366
"Atlin School","2017","mean",0.39,-3.93,4.89,0.38,NA,75.26,-4.06,0.34,8.97,3.36,55.42,NA,NA,NA,NA,NA,NA
"Atlin School","2017","max",19.8,13.44,27.04,19.2,-Inf,99.15,11.08,1.29,89.32,7.79,190.46,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","2017","min",-27.92,-29.79,-25.61,0,Inf,35.1,-30.49,0,270.78,0,1.54,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","2017","obs_na",0,0,0,0,365,0,0,0,0,0,0,365,365,365,365,365,365
"Atlin School","2018","mean",1.13,-3.9,6.19,0.24,NA,69.51,-4.61,0.4,8.09,3.74,70.85,NA,NA,NA,NA,NA,NA
"Atlin School","2018","max",20.29,14,29.95,16,-Inf,96.6,10.1,1.38,89.43,8.16,168.95,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","2018","min",-33.58,-37.34,-29.39,0,Inf,40.27,-36.5,0,272.19,0,1.03,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","2018","obs_na",0,0,0,0,230,0,0,0,0,0,0,230,230,230,230,230,230
"Barren","2021","mean",2.28,-2.09,6.52,1.4,890.3,83.12,-0.78,0.6,22.48,6.04,97.12,0.11,0.12,0.11,6.38,NA,NA
"Barren","2021","max",21.48,13.43,29.32,24.2,904.71,99.96,10.64,2.5,89.03,13.09,314.37,0.18,0.18,0.15,14.9,-Inf,-Inf
"Barren","2021","min",-27.56,-31.62,-22.63,0,863.58,47.67,-30.45,0,270.49,0,2.07,0.02,0.04,0.05,0.35,Inf,Inf
"Barren","2021","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,175
"Barren","2022","mean",2.03,-2.97,6.9,1.22,893.45,78.8,-1.87,0.76,22.55,6.79,126.7,0.1,0.13,0.12,5.44,NA,NA
"Barren","2022","max",21.9,13.62,29.44,61.2,917.1,100,12.69,3.12,88.72,13.59,354.9,0.18,0.23,0.18,15.6,-Inf,-Inf
"Barren","2022","min",-31.36,-35.36,-25.84,0,865.81,44.46,-33.76,0,274.7,0,1.65,0.03,0.06,0.07,0.22,Inf,Inf
"Barren","2022","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365
"Barren","2023","mean",5.16,-0.6,10.65,0.78,891.92,71.81,-0.48,0.92,24.7,6.93,170.99,0.08,0.11,0.12,6.75,NA,NA
"Barren","2023","max",20.8,14.15,28.84,34,910.03,100,11.42,3.06,86.87,12.58,366.09,0.2,0.28,0.2,14.87,-Inf,-Inf
"Barren","2023","min",-22.55,-30.2,-18.25,0,870.52,33.07,-27.21,0,270.44,0,3.68,0.03,0.06,0.08,0.82,Inf,Inf
"Barren","2023","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,261
"Bednesti Tamarac","2021","mean",3.35,Inf,-Inf,0.82,NA,75.59,-1.05,1.14,NA,-Inf,NA,0.11,0.16,0.14,6.89,NA,NA
"Bednesti Tamarac","2021","max",23.83,Inf,31.89,10.2,-Inf,98.35,14.4,3.03,-Inf,13.6,-Inf,0.14,0.26,0.22,16.32,-Inf,-Inf
"Bednesti Tamarac","2021","min",-29.5,-34.68,-Inf,0,Inf,42.74,-32.73,0.06,Inf,-Inf,Inf,0.06,0.08,0.09,0.28,Inf,Inf
