"Site","years","months","monthly","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg","WC_avg_15cm","WC_avg_5cm","WC_avg_30cm","ST_avg","W_avg","SD_avg"
"Atlin Monarch Mt","2010","Aug","mean",4.52,2.54,6.89,3.77,NA,88.14,2.61,2.06,355.27,6.64,119.57,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2010","Aug","max",6.17,4.01,9.31,24.2,-Inf,99.4,3.9,3.16,59.13,8.35,233.38,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2010","Aug","min",3.69,0.88,4.97,0,Inf,72.15,0.76,1.54,278.63,5.01,9.05,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2010","Aug","obs_na",0,0,0,0,14,0,0,0,0,0,0,14,14,14,14,14,14
"Atlin Monarch Mt","2010","Sep","mean",3.31,0.97,5.96,2.08,NA,82.96,0.38,2.69,9.51,8.48,100.17,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2010","Sep","max",8.16,5.13,11.42,17.2,-Inf,100,4.55,4.82,83.31,15.03,173.48,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2010","Sep","min",-1.26,-3.27,0.36,0,Inf,57.69,-6.02,1.35,286.35,4.08,22.7,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2010","Sep","obs_na",0,0,0,0,30,0,0,0,0,0,0,30,30,30,30,30,30
"Atlin Monarch Mt","2010","Oct","mean",-2.47,-4.03,-0.67,0.51,NA,89.34,-4.09,3.59,8.82,11.13,57.63,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2010","Oct","max",5.44,1.72,9.98,6.4,-Inf,99.03,-0.74,8.29,78.68,22.26,110.2,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2010","Oct","min",-5.7,-7.54,-4.5,0,Inf,58.9,-8.51,1.01,273.83,5.01,15.82,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2010","Oct","obs_na",0,0,0,0,31,0,0,0,0,0,0,31,31,31,31,31,31
"Atlin Monarch Mt","2010","Nov","mean",-7.95,-10.14,-5.9,0.15,NA,91.95,-9.06,3.25,8.69,10.53,22.3,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2010","Nov","max",-1.33,-2.45,1.67,3,-Inf,99.23,-1.79,7.61,88.57,22.08,50.81,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2010","Nov","min",-18.69,-21.72,-15.75,0,Inf,77.83,-21.24,0.41,275.12,1.3,5.82,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2010","Nov","obs_na",0,0,0,0,30,0,0,0,0,0,0,30,30,30,30,30,30
"Atlin Monarch Mt","2010","Dec","mean",-16.26,-18.61,-14,0,NA,88.94,-17.71,0.91,21.25,3.27,6.05,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2010","Dec","max",-3.64,-6.04,-2.77,0,-Inf,94.72,-5.5,8.96,86.7,20.41,16.6,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2010","Dec","min",-25.57,-27.9,-23.62,0,Inf,66.84,-27.42,0,308.67,0,1.6,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2010","Dec","obs_na",0,0,0,0,31,0,0,0,0,0,0,31,31,31,31,31,31
"Atlin Monarch Mt","2011","Jan","mean",-12.63,-14.97,-10.56,0,NA,90.85,-13.82,2.07,7.99,6.33,16.57,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2011","Jan","max",-3.63,-4.05,-2.77,0,-Inf,98.63,-4.51,6.21,85.3,16.51,44.57,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2011","Jan","min",-32.62,-33.38,-31.85,0,Inf,74.03,-34.84,0,270.15,0,3.47,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2011","Jan","obs_na",0,0,0,0,31,0,0,0,0,0,0,31,31,31,31,31,31
"Atlin Monarch Mt","2011","Feb","mean",-14.16,-17.16,-11.34,0,NA,88.62,-15.66,3.93,13.48,9.7,44.12,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2011","Feb","max",-1.08,-2.63,0.63,0,-Inf,96.45,-2.2,8.2,74.4,18.74,105.3,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2011","Feb","min",-28.22,-29.93,-27.21,0,Inf,70.55,-30.13,0,314.37,0.19,17.13,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2011","Feb","obs_na",0,0,0,0,28,0,0,0,0,0,0,28,28,28,28,28,28
"Atlin Monarch Mt","2011","Mar","mean",-13.06,-15.39,-10.57,0.03,NA,77.85,-16.25,2.81,21.08,7.87,125.05,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2011","Mar","max",-1.7,-3.84,1.18,0.8,-Inf,94.89,-5.32,5.88,84.18,16.51,178.33,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2011","Mar","min",-25.31,-27.15,-23.52,0,Inf,52.32,-29.8,1,270.44,2.97,68.95,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2011","Mar","obs_na",0,0,0,0,31,0,0,0,0,0,0,31,31,31,31,31,31
"Atlin Monarch Mt","2011","Apr","mean",-4.93,-7.24,-2.46,0,NA,76.33,-8.56,3.86,16.78,10.67,192.53,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2011","Apr","max",-0.74,-3.42,2.61,0,-Inf,85.19,-5.27,6.93,89.68,20.59,285.3,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2011","Apr","min",-7.61,-10.58,-5.67,0,Inf,62.95,-12.38,1.3,277.52,5.01,94.89,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2011","Apr","obs_na",0,0,0,0,30,0,0,0,0,0,0,30,30,30,30,30,30
"Atlin Monarch Mt","2011","May","mean",3.26,0.27,6.37,0.7,NA,71.93,-2.1,2.53,4.47,8.25,220.6,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2011","May","max",13.65,10.12,18.34,9.8,-Inf,99,3.46,4.38,87.86,11.69,326.35,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2011","May","min",-2.63,-5.42,-0.96,0,Inf,32.55,-11.76,1.07,274.25,4.08,67.9,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2011","May","obs_na",0,0,0,0,31,0,0,0,0,0,0,31,31,31,31,31,31
"Atlin Monarch Mt","2011","Jun","mean",6.54,2.77,10.97,0.54,NA,68.02,0.64,3.04,16.66,9.26,257.21,NA,NA,NA,NA,NA,NA
