"Site","years","months","monthly","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg","WC_avg_15cm","WC_avg_5cm","WC_avg_30cm","ST_avg","W_avg","SD_avg"
"Atlin Monarch Mt","2011","Jun","max",13.4,9.06,18.3,7.4,-Inf,86.45,6.9,4.82,80.97,12.99,354.33,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2011","Jun","min",2.16,-0.96,5.44,0,Inf,42.58,-2.84,1.48,277.98,4.82,143.94,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2011","Jun","obs_na",0,0,0,0,30,0,0,0,0,0,0,30,30,30,30,30,30
"Atlin Monarch Mt","2011","Jul","mean",7.91,4.54,12.06,0.42,NA,74.33,3.34,2.74,24.09,8.37,236.59,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2011","Jul","max",15.61,11.22,21.22,4.6,-Inf,88.74,6.44,4.22,86.93,11.87,337.45,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2011","Jul","min",4.11,0.11,6.64,0,Inf,50.57,-0.75,1.22,287.52,5.01,112.24,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2011","Jul","obs_na",0,0,0,0,31,0,0,0,0,0,0,31,31,31,31,31,31
"Atlin Monarch Mt","2011","Aug","mean",5.06,2.68,8.59,2.04,NA,85.37,2.63,3,0.07,8.73,156.88,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2011","Aug","max",8.38,6.76,12.65,15.6,-Inf,98.7,8.06,5.02,25.56,14.29,285.36,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2011","Aug","min",2.41,0.47,3.91,0,Inf,67.44,0.21,1.13,293.3,4.82,72.07,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2011","Aug","obs_na",0,0,0,0,31,0,0,0,0,0,0,31,31,31,31,31,31
"Atlin Monarch Mt","2011","Sep","mean",2.27,0.12,4.74,1.9,NA,85.15,-0.22,3.63,350.48,10.9,104.43,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2011","Sep","max",8.83,4.97,12.78,9.4,-Inf,96.95,4.45,7.05,50.89,23.01,192.96,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2011","Sep","min",-2.14,-3.84,-1.21,0,Inf,44.34,-2.93,1.16,287.45,5.01,41.4,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2011","Sep","obs_na",0,0,0,0,30,0,0,0,0,0,0,30,30,30,30,30,30
"Atlin Monarch Mt","2011","Oct","mean",-2.35,-3.79,-0.67,0.23,NA,89.43,-3.92,3.42,358.75,10.11,58.51,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2011","Oct","max",-0.34,-1.1,2.61,3,-Inf,100,-0.38,7.33,59.84,18.55,122.8,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2011","Oct","min",-5.27,-7.25,-4.14,0,Inf,67.87,-7.42,0.41,282.08,3.71,23,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2011","Oct","obs_na",0,0,0,0,31,0,0,0,0,0,0,31,31,31,31,31,31
"Atlin Monarch Mt","2011","Nov","mean",-12.18,-14.8,-9.94,0,NA,91.07,-13.36,2.24,352.46,7.12,19.75,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2011","Nov","max",-2.75,-5.95,-2.02,0,-Inf,96.33,-4.15,8.23,63.35,22.82,39.98,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2011","Nov","min",-27,-29.32,-24.65,0,Inf,84.17,-28.85,0,271.78,0.19,8.47,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2011","Nov","obs_na",0,0,0,0,30,0,0,0,0,0,0,30,30,30,30,30,30
"Atlin Monarch Mt","2011","Dec","mean",-7.86,-9.85,-5.99,0.03,NA,91.32,-9.07,1.96,48.57,10,9.37,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2011","Dec","max",-1.08,-3.84,4.25,0.8,-Inf,97.94,-2.4,7.17,66.24,39.33,17.32,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2011","Dec","min",-14.38,-17.34,-13.47,0,Inf,77.8,-16.55,0,40.52,0,3.94,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2011","Dec","obs_na",0,0,0,0,31,0,0,0,27,0,5,31,31,31,31,31,31
"Atlin Monarch Mt","2012","Jan","mean",-14.77,-17.35,-12.17,0,NA,91.15,-15.89,0.15,NA,4.15,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Jan","max",-4.65,-6.71,-2.89,0,-Inf,98.56,-4.86,0.87,-Inf,17.07,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Jan","min",-31.38,-32.91,-29.52,0,Inf,81.11,-33.58,0,Inf,0.37,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Jan","obs_na",0,0,0,0,31,0,0,0,31,0,31,31,31,31,31,31,31
"Atlin Monarch Mt","2012","Feb","mean",-8.17,-10.26,-6.29,0.01,NA,87.74,-9.92,0.25,NA,5.42,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Feb","max",-4.43,-5.51,-1.02,0.2,-Inf,98.62,-4.66,1.23,-Inf,15.59,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Feb","min",-16.84,-19.19,-14.63,0,Inf,59.52,-18.95,0,Inf,0.37,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Feb","obs_na",0,0,0,0,29,0,0,14,29,14,29,29,29,29,29,29,29
"Atlin Monarch Mt","2012","Mar","mean",-9.33,-12.09,-6.81,0.05,NA,84.78,-11.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Mar","max",-2.76,-5.82,0.44,0.8,-Inf,95.5,-5.01,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Mar","min",-15.05,-17.94,-12.9,0,Inf,68.39,-16.95,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Mar","obs_na",0,0,0,0,31,0,0,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2012","Apr","mean",-2.28,-5.05,0.54,0.18,NA,75.98,-6.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Apr","max",0.92,-0.85,3.54,1.8,-Inf,93.33,-2.01,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Apr","min",-6.73,-9.64,-4.59,0,Inf,54.68,-12.36,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Apr","obs_na",0,0,0,0,30,0,0,30,30,30,30,30,30,30,30,30,30
"Atlin Monarch Mt","2012","May","mean",-0.21,-2.69,2.54,0.58,NA,80.99,-3.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2012","May","max",6.7,3.09,9.95,6.8,-Inf,97.57,3.1,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","May","min",-4.47,-7.03,-2.57,0,Inf,68.39,-8.47,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","May","obs_na",0,0,0,0,31,0,0,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2012","Jun","mean",5.47,2.16,9.16,0.99,NA,75.63,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Jun","max",17.05,13.31,20.98,7.6,-Inf,100,6.18,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Jun","min",0.69,-2.48,2.69,0,Inf,44.5,-4.85,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Jun","obs_na",0,0,0,0,30,0,0,30,30,30,30,30,30,30,30,30,30
"Atlin Monarch Mt","2012","Jul","mean",7.7,4.07,11.83,0.8,NA,73.94,3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Jul","max",13.82,9.53,19.27,7.2,-Inf,89.29,6.75,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Jul","min",2.62,-1.19,4.53,0,Inf,59.93,-1.51,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Jul","obs_na",0,0,0,0,31,0,0,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2012","Aug","mean",7.1,4.28,10.76,1.34,NA,80.99,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Aug","max",10.99,7.67,15.53,11.4,-Inf,97.52,8.36,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Aug","min",2.23,-0.48,4.51,0,Inf,52.77,-0.46,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Aug","obs_na",0,0,0,0,31,0,0,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2012","Sep","mean",3.18,0.77,6.33,1.44,NA,85.37,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Sep","max",11.25,7.59,14.96,9.4,-Inf,96,7.53,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Sep","min",-1.98,-3.69,-0.31,0,Inf,71.83,-4.38,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Sep","obs_na",0,0,0,0,30,0,0,30,30,30,30,30,30,30,30,30,30
"Atlin Monarch Mt","2012","Oct","mean",-5.55,-7.53,-3.44,0.03,NA,87.42,-7.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Oct","max",9.05,6.31,13.69,0.2,-Inf,99.36,5.25,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Oct","min",-17.11,-19.1,-16.24,0,Inf,64.52,-18.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Oct","obs_na",0,0,0,0,31,0,0,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2012","Nov","mean",-12.96,-15.33,-10.85,0,NA,92.38,-13.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Nov","max",-3.64,-4.5,-2.83,0,-Inf,98.58,-4.02,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Nov","min",-23.88,-25.67,-22.27,0,Inf,86.3,-25.55,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Nov","obs_na",0,0,0,0,30,0,0,30,30,30,30,30,30,30,30,30,30
"Atlin Monarch Mt","2012","Dec","mean",-16.12,-18.24,-13.87,0,NA,90.03,-17.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Dec","max",-3.04,-3.72,-2.33,0,-Inf,97.53,-4.03,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Dec","min",-26.83,-29.32,-25.1,0,Inf,84.2,-28.72,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Dec","obs_na",0,0,0,0,31,0,0,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2013","Jan","mean",-9.64,-12.44,-7.32,0.19,NA,91.34,-10.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Jan","max",1.25,-1.24,2.64,6,-Inf,98.18,-0.82,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Jan","min",-34.72,-36.15,-33.06,0,Inf,78.94,-37.13,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Jan","obs_na",0,0,0,0,31,0,0,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2013","Feb","mean",-7.19,-8.97,-5.57,0.01,NA,89.81,-8.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Feb","max",-3.11,-4.11,-1.56,0.2,-Inf,97.45,-3.71,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Feb","min",-10.72,-12.27,-9.61,0,Inf,76.99,-12.69,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Feb","obs_na",0,0,0,0,28,0,0,28,28,28,28,28,28,28,28,28,28
"Atlin Monarch Mt","2013","Mar","mean",-11.53,-14.24,-8.63,0.01,NA,83,-13.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Mar","max",-3.55,-6.8,-0.68,0.2,-Inf,94.7,-5.4,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Mar","min",-21.41,-23.57,-18.79,0,Inf,59.72,-23.04,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Mar","obs_na",0,0,0,0,31,0,0,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2013","Apr","mean",-7.49,-10.34,-4.39,0.17,NA,81.07,-10.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Apr","max",-1.66,-3.69,0.61,2.2,-Inf,97.05,-3.28,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Apr","min",-15.65,-18.56,-12.57,0,Inf,58.89,-19.51,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Apr","obs_na",0,0,0,0,30,0,0,30,30,30,30,30,30,30,30,30,30
"Atlin Monarch Mt","2013","May","mean",3.22,-0.16,6.52,0.53,NA,68.93,-2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2013","May","max",12.72,10.12,17.03,15,-Inf,92.14,4.12,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","May","min",-4.98,-7.94,-1.9,0,Inf,42.09,-9.37,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","May","obs_na",0,0,0,0,31,0,0,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2013","Jun","mean",8.78,5.06,12.92,0.99,NA,70.85,3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Jun","max",15.76,11.05,21.82,5.4,-Inf,98.65,8.97,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Jun","min",0.69,-1.9,2.53,0,Inf,48.82,-2.46,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Jun","obs_na",0,0,0,0,30,0,0,30,30,30,30,30,30,30,30,30,30
"Atlin Monarch Mt","2013","Jul","mean",9.5,6,13.43,1.61,NA,72.99,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Jul","max",17.88,13.76,21.7,18,-Inf,97.06,8.72,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Jul","min",4.35,0.77,7.24,0,Inf,47.65,-0.96,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Jul","obs_na",0,0,0,0,31,0,0,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2013","Aug","mean",12.57,8.85,16.8,0.56,NA,70.33,6.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Aug","max",17.98,14.96,21.72,4.2,-Inf,93.75,8.98,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Aug","min",6.55,5.18,6.61,0,Inf,54.51,4.05,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Aug","obs_na",14,14,14,9,31,14,14,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2013","Sep","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Sep","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Sep","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Sep","obs_na",30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
"Atlin Monarch Mt","2013","Oct","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Oct","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Oct","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Oct","obs_na",31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2013","Nov","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Nov","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Nov","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Nov","obs_na",30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
"Atlin Monarch Mt","2013","Dec","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Dec","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Dec","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Dec","obs_na",31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2014","Jan","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
