"Site","seasons","seasonal","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg","WC_avg_15cm","WC_avg_5cm","WC_avg_30cm","ST_avg","W_avg","SD_avg"
"Atlin Monarch Mt","Fall","mean",-3.87,-6.23,-1.56,5.28,850.79,87.56,-5.82,2.88,13,9.8,63.13,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","Fall","max",13.61,9.09,18.34,17.2,869.2,100,8.51,9.57,89.63,23.01,224.83,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","Fall","min",-27,-29.32,-24.65,0,825.9,42.53,-28.85,0,271.78,0,3.88,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Fall","obs_na",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Atlin Monarch Mt","Spring","mean",-4.44,-7.28,-1.55,3.91,851.89,77.09,-8.28,3.12,25.25,9.99,185.01,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","Spring","max",13.65,10.12,18.34,15,862.6,99,4.12,7.41,89.68,20.59,395.78,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","Spring","min",-25.31,-27.15,-23.52,0,834.5,32.55,-29.8,0,270.44,0,47.38,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Atlin Monarch Mt","Summer","mean",7.8,4.79,11.81,6.35,857.29,74.98,3.05,2.68,30.75,8.95,216.91,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","Summer","max",18.86,14.96,22.92,24.2,870.5,100,8.98,5.02,88.98,14.59,383.07,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","Summer","min",0.08,-2.48,1.51,0,846.3,38.32,-4.85,0.31,270.72,4.53,9.05,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Summer","obs_na",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Atlin Monarch Mt","Winter","mean",-12,-14.41,-10.17,2.4,858.61,88.02,-13.41,2.78,10.9,9.48,25.08,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","Winter","max",3.34,1.75,5.44,10.6,1054.8,99.7,0.86,8.96,87.7,39.33,107.9,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","Winter","min",-34.72,-36.15,-33.06,0,803.8,30.68,-37.13,0,270.15,0,1.6,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Winter","obs_na",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Atlin School","Fall","mean",0.8,-3.1,4.46,5.65,NA,81.28,-2.37,0.47,5.49,4.29,27.92,NA,NA,NA,NA,NA,NA
"Atlin School","Fall","max",16.8,12.58,25.04,20.2,-Inf,99.99,10.95,2,89.95,10.58,95.09,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Fall","min",-25.66,-28.86,-21.57,0,Inf,41.09,-28.44,0,270.03,0,0.86,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Fall","obs_na",0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1
"Atlin School","Spring","mean",0.4,-6.21,6.49,3.8,NA,65.93,-5.91,0.57,16.89,4.1,85.32,NA,NA,NA,NA,NA,NA
"Atlin School","Spring","max",16.48,11.2,25.77,10.4,-Inf,97.09,7.74,1.66,89.77,8.72,190.46,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Spring","min",-22.69,-29.39,-17.51,0,Inf,34.81,-27.65,0,270.03,0,6.7,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Spring","obs_na",0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1
"Atlin School","Summer","mean",12.31,6.79,18.07,6.92,NA,69.36,5.98,0.42,20.56,3.64,93.95,NA,NA,NA,NA,NA,NA
"Atlin School","Summer","max",20.96,14.58,30.75,22.8,-Inf,98.93,13.92,1.01,90,8.53,193.69,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Summer","min",3.05,-2.16,4.06,0,Inf,35.56,-3.17,0,270.15,0,5.56,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Summer","obs_na",0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1
"Atlin School","Winter","mean",-10.45,-13.72,-7.31,7.36,NA,84.99,-12.44,0.51,355.77,4.58,13,NA,NA,NA,NA,NA,NA
"Atlin School","Winter","max",7.31,4.45,10.79,38.4,-Inf,99.92,2.52,1.32,89.91,12.99,42.07,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Winter","min",-35.21,-38.91,-30.76,0,Inf,55.39,-37.87,0,270.43,0,0.65,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Winter","obs_na",0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1
"Barren","Fall","mean",2.91,-1.87,7.39,6.51,891.53,84.75,0,0.83,21.66,7.01,81.73,0.1,0.14,0.12,6.64,NA,NA
"Barren","Fall","max",15.83,9.14,26.21,24.2,917.1,99.96,9.57,2.48,89.03,13.09,233.63,0.18,0.2,0.2,13.22,-Inf,-Inf
"Barren","Fall","min",-20.4,-26.08,-18.25,0,868.5,46.75,-22.78,0,270.49,0,1.65,0.03,0.07,0.05,0.59,Inf,Inf
"Barren","Fall","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Barren","Spring","mean",1.52,-3.99,6.96,4.42,890.84,70.91,-4.01,1.06,18.73,7.6,175.18,0.14,0.19,0.18,3.93,NA,NA
"Barren","Spring","max",19.03,9.66,28.77,19.8,909.11,98.79,5.88,3.02,88.57,13.59,345.77,0.2,0.26,0.28,10.8,-Inf,-Inf
"Barren","Spring","min",-18.33,-25.9,-16.49,0,867.48,43.79,-21.04,0,270.32,2.52,41.75,0.07,0.12,0.13,0.38,Inf,Inf
"Barren","Spring","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"Barren","Summer","mean",13.51,7,19.38,7.8,895.47,67.16,6.57,1.19,34.8,8.3,228.82,0.1,0.16,0.12,12.41,NA,NA
"Barren","Summer","max",21.9,14.15,29.69,61.2,904.71,96.28,12.69,3.06,88.73,13.09,373.27,0.18,0.28,0.18,15.6,-Inf,-Inf
"Barren","Summer","min",4.75,-2.48,6.54,0,875.02,33.07,-1.35,0.06,271.66,3.52,55.73,0.02,0.04,0.05,7.76,Inf,Inf
"Barren","Summer","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Barren","Winter","mean",-8.23,-12.47,-4.62,3.81,889.07,90.42,-9.58,0.89,10.76,6.8,35.52,0.1,0.14,0.12,0.98,NA,NA
"Barren","Winter","max",3.72,0.85,8.12,13.2,914.21,100,2.35,3.12,89.78,13.59,116.02,0.14,0.19,0.16,2.31,-Inf,-Inf
"Barren","Winter","min",-31.61,-36.15,-25.84,0,863.58,63.81,-33.85,0,270.44,0,2.07,0.06,0.08,0.09,0.22,Inf,Inf
"Barren","Winter","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"Blackhawk","Fall","mean",1.13,-6.17,7.58,7.85,901.21,79.86,-2.38,1.51,19.14,8.58,77.83,0.09,NA,NA,5.98,NA,12.79
"Blackhawk","Fall","max",17.73,11.18,30.29,26.8,929.98,100,10.43,5.56,89.97,21.34,225.51,0.17,-Inf,-Inf,15.69,-Inf,42.2
"Blackhawk","Fall","min",-28.88,-37.34,-23.52,0,878.19,30.69,-30.85,0,270.38,0,3.99,0,Inf,Inf,-0.69,Inf,0
"Blackhawk","Fall","obs_na",0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
"Blackhawk","Spring","mean",1.24,-7.66,8.29,7.02,901.78,69.48,-4.84,1.66,22.9,9.83,164.91,0.13,NA,NA,NA,NA,29.68
"Blackhawk","Spring","max",19.84,10.61,32.41,27,925.15,100,9.88,5.87,89.43,20.41,335.1,0.26,-Inf,-Inf,-Inf,-Inf,99.99
"Blackhawk","Spring","min",-31.3,-42.32,-22.63,0,877.21,32.53,-36.16,0,270.3,0,10.61,0,Inf,Inf,Inf,Inf,0
"Blackhawk","Spring","obs_na",0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
"Blackhawk","Summer","mean",13.61,5.12,20.59,13.29,903.31,70.43,7.13,1.52,20.18,9.37,203.69,0.11,NA,NA,16.35,NA,0
"Blackhawk","Summer","max",28.2,18.01,39.86,56.8,917.97,99.99,17.14,4.53,89.32,17.25,353.38,0.19,-Inf,-Inf,20.58,-Inf,0
"Blackhawk","Summer","min",2.45,-5.51,4.92,0,885.51,37,-4.46,0,270.09,1.26,23.33,0.03,Inf,Inf,13.88,Inf,0
"Blackhawk","Summer","obs_na",0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
"Blackhawk","Winter","mean",-9.83,-15.47,-4.22,4.46,900.05,81.18,-12.81,1.78,18.97,9.33,35.74,0.1,NA,NA,-0.61,NA,27.42
