"Site","gseason","grow_season","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg","WC_avg_15cm","WC_avg_5cm","WC_avg_30cm","ST_avg","W_avg","SD_avg"
"Barren","Winter (Oct-Apr)","mean",-4.46,-8.73,-0.39,0.83,890.04,84.87,-6.93,0.63,14.02,6.14,71.82,0.1,0.13,0.13,1.73,NA,NA
"Barren","Winter (Oct-Apr)","max",11.64,5.69,20.25,24.2,917.1,100,6.87,3.12,89.03,13.59,294.78,0.19,0.23,0.19,10.09,-Inf,-Inf
"Barren","Winter (Oct-Apr)","min",-31.36,-35.36,-25.84,0,863.58,47.33,-33.76,0,270.44,0,1.65,0.03,0.06,0.07,0.22,Inf,Inf
"Barren","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,424
"Bednesti Tamarac","Summer (May-Sep)","mean",13.96,Inf,-Inf,1.23,NA,65.96,6.94,1.01,NA,-Inf,NA,0.1,0.14,0.1,12.52,NA,NA
"Bednesti Tamarac","Summer (May-Sep)","max",24.29,Inf,32.51,25.6,-Inf,94.92,14.73,3.03,-Inf,16.12,-Inf,0.17,0.25,0.2,17.91,-Inf,-Inf
"Bednesti Tamarac","Summer (May-Sep)","min",2.55,-2.28,-Inf,0,Inf,36.95,-3.29,0.07,Inf,-Inf,Inf,0.05,0.06,0.03,4.87,Inf,Inf
"Bednesti Tamarac","Summer (May-Sep)","obs_na",7,0,0,7,377,7,7,7,377,0,377,36,36,0,0,377,377
"Bednesti Tamarac","Winter (Oct-Apr)","mean",-2.53,-6.71,1.67,0.57,NA,76.08,-6.57,1.24,NA,7.31,NA,0.11,0.15,0.11,2.01,NA,NA
"Bednesti Tamarac","Winter (Oct-Apr)","max",15.07,10.07,24.56,13.4,-Inf,98.35,8.89,4.95,-Inf,16.62,-Inf,0.19,0.33,0.63,10.85,-Inf,-Inf
"Bednesti Tamarac","Winter (Oct-Apr)","min",-33.18,-37.92,-27.96,0,Inf,39.42,-36.05,0.01,Inf,2.27,Inf,0.04,0.06,0.04,-0.34,Inf,Inf
"Bednesti Tamarac","Winter (Oct-Apr)","obs_na",0,0,0,0,428,0,0,0,428,0,428,0,0,0,0,428,428
"Blackhawk","Summer (May-Sep)","mean",11.61,3.24,18.52,1.75,903.17,70.71,5.4,1.1,23.33,8.1,190.24,0.11,NA,NA,NA,NA,0.06
"Blackhawk","Summer (May-Sep)","max",28.2,18.01,39.86,56.8,920.44,100,17.14,4.53,89.97,20.41,353.38,0.19,-Inf,-Inf,-Inf,-Inf,8.91
"Blackhawk","Summer (May-Sep)","min",-3.84,-11.61,-2.48,0,879.11,32.53,-11.4,0,270.09,0.25,10.61,0.02,Inf,Inf,Inf,Inf,0
"Blackhawk","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,264,0,0,846,1812,1812,1812,1812,741
"Blackhawk","Winter (Oct-Apr)","mean",-5.05,-11.71,0.95,0.48,900.58,79.13,-8.61,0.99,19.94,7.33,68.33,0.08,NA,NA,NA,NA,21.13
"Blackhawk","Winter (Oct-Apr)","max",15.98,9.85,25.96,23,929.98,100,7.5,6.79,89.97,25.42,276.6,0.26,-Inf,-Inf,-Inf,-Inf,99.99
"Blackhawk","Winter (Oct-Apr)","min",-41.05,-46.42,-31.77,0,871.9,30.69,-43.78,0,270.38,0,2.22,0,Inf,Inf,Inf,Inf,0
"Blackhawk","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,318,0,0,1133,2430,2430,2430,2430,925
"Boulder Creek","Summer (May-Sep)","mean",12.95,6.67,19.68,1.43,965.08,78.97,8.5,0.31,354.77,-Inf,190.24,0.12,NA,NA,NA,39.15,NA
"Boulder Creek","Summer (May-Sep)","max",26.02,16.87,37.21,34,984.37,100,17.05,1.46,89.5,14.1,368.27,0.22,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","Summer (May-Sep)","min",1.22,-4.59,4.99,0,944.64,30.25,-13.65,0,270.03,-Inf,0.6,0,Inf,Inf,Inf,0,Inf
"Boulder Creek","Summer (May-Sep)","obs_na",0,0,0,124,0,0,0,73,73,0,200,747,1748,1748,1748,101,1748
"Boulder Creek","Winter (Oct-Apr)","mean",-1.54,-5.25,2.62,1.3,963.64,89.13,-3.5,0.22,355.8,-Inf,58.16,0.14,NA,NA,NA,48.43,NA
"Boulder Creek","Winter (Oct-Apr)","max",13.82,10.21,24.07,49.6,998.02,100,11.93,1.89,89.98,15.21,293.27,0.25,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","Winter (Oct-Apr)","min",-32.86,-36.46,-29.06,0,931.48,26,-35.87,0,270.02,-Inf,0.82,0,Inf,Inf,Inf,0,Inf
"Boulder Creek","Winter (Oct-Apr)","obs_na",0,0,0,213,0,0,0,199,199,0,133,1245,2518,2518,2518,199,2518
"Bowron Pit","Summer (May-Sep)","mean",12.4,Inf,-Inf,2.13,931.69,78.3,7.96,0.21,344.29,-Inf,181.64,0.22,NA,NA,NA,NA,0.15
"Bowron Pit","Summer (May-Sep)","max",27.8,Inf,38.53,28.4,949.89,99.07,17.44,1.53,88.45,11.58,359.37,0.4,-Inf,-Inf,-Inf,-Inf,11.17
"Bowron Pit","Summer (May-Sep)","min",0.35,-7.67,-Inf,0,915.4,44.14,-5.4,0,270.43,-Inf,23.8,0.13,Inf,Inf,Inf,Inf,0
"Bowron Pit","Summer (May-Sep)","obs_na",14,0,0,14,14,14,14,14,156,0,14,14,644,644,644,644,185
"Bowron Pit","Winter (Oct-Apr)","mean",-2.46,-7.8,2.71,1.52,931.28,82.7,-5.44,0.31,346.1,5.39,62.89,0.2,NA,NA,NA,NA,20.87
"Bowron Pit","Winter (Oct-Apr)","max",13.06,9.24,24.22,32,963.18,99.96,10.7,2.45,89.95,18.12,274.98,0.28,-Inf,-Inf,-Inf,-Inf,74.06
"Bowron Pit","Winter (Oct-Apr)","min",-38.63,-45.01,-30.2,0,902.5,40.02,-41.69,0,270.5,0,2.17,0.09,Inf,Inf,Inf,Inf,0
"Bowron Pit","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,212,0,0,0,944,944,944,944,243
"Bulkley","Summer (May-Sep)","mean",13.28,Inf,-Inf,1.39,944.73,74.76,7.7,0.26,4.95,3.44,130.4,NA,NA,NA,NA,39.31,NA
"Bulkley","Summer (May-Sep)","max",27.88,Inf,39.66,27.6,963.48,100,17.92,1.19,89.98,7.98,322.6,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","Summer (May-Sep)","min",0.47,-6.74,-Inf,0,919.27,32.17,-10.85,0,270.01,0.19,19.31,Inf,Inf,Inf,Inf,0.1,Inf
"Bulkley","Summer (May-Sep)","obs_na",7,0,0,57,0,71,71,0,0,0,12,2476,2476,2476,2476,113,2476
"Bulkley","Winter (Oct-Apr)","mean",-1.79,-6.68,2.99,0.89,943.78,81.67,-4.98,0.33,352.16,3.33,35.07,NA,NA,NA,NA,28.75,NA
"Bulkley","Winter (Oct-Apr)","max",16.78,12.12,26.21,22.6,976.04,100,10.84,1.77,89.8,10.02,241.08,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","Winter (Oct-Apr)","min",-38.32,-43.56,-32.29,0,907.59,28.25,-41.44,0,270.07,0,1.28,Inf,Inf,Inf,Inf,0,Inf
"Bulkley","Winter (Oct-Apr)","obs_na",0,0,0,119,0,0,0,0,0,0,156,3200,3200,3200,3200,213,3200
"Canoe","Summer (May-Sep)","mean",5.87,2.91,9.07,1.86,780.11,75.89,1.38,4.63,349.25,-Inf,210.83,NA,NA,NA,NA,NA,NA
"Canoe","Summer (May-Sep)","max",24.55,20.79,28.94,47.6,793.25,100,10.84,13.71,88.62,49.31,429.26,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Canoe","Summer (May-Sep)","min",-9.24,-10.65,-7.58,0,762.82,26.27,-12.54,0,270.67,-Inf,15.92,Inf,Inf,Inf,Inf,Inf,Inf
"Canoe","Summer (May-Sep)","obs_na",0,0,0,126,126,0,0,84,188,0,0,1530,1530,1530,1530,1530,1530
"Canoe","Winter (Oct-Apr)","mean",-7.31,-9.64,-4.87,0.2,772.53,86.65,-9.45,5.19,347.26,-Inf,83.39,NA,NA,NA,NA,NA,NA
"Canoe","Winter (Oct-Apr)","max",10.73,8.49,14.51,31.01,793.62,100,4.21,17.49,89.84,31.77,327.38,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Canoe","Winter (Oct-Apr)","min",-32.57,-35.97,-30.41,0,748.41,15,-34.88,0,270.09,-Inf,3.58,Inf,Inf,Inf,Inf,Inf,Inf
"Canoe","Winter (Oct-Apr)","obs_na",0,0,0,13,15,0,0,168,214,0,0,2059,2059,2059,2059,2059,2059
"Caribou Pass","Summer (May-Sep)","mean",5.88,3.28,9.2,1.16,814.2,78.8,1.97,6.04,3.52,14.26,130.7,NA,NA,NA,NA,NA,NA
"Caribou Pass","Summer (May-Sep)","max",16.46,13.57,21.44,10,825.77,98.12,7.19,14.9,88.5,32.16,345.43,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Caribou Pass","Summer (May-Sep)","min",-2.24,-3.18,-0.93,0,798.27,41.93,-3.35,1.83,272.13,5.07,32.18,Inf,Inf,Inf,Inf,Inf,Inf
"Caribou Pass","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,58,58,58,58,58,58
"Caribou Pass","Winter (Oct-Apr)","mean",-5.04,Inf,-Inf,0.1,805.76,87.38,-7.06,7.14,348.18,16.72,30.13,NA,NA,NA,NA,NA,NA
"Caribou Pass","Winter (Oct-Apr)","max",5.55,Inf,8.54,2,824.67,99.02,2.73,13.81,88.5,36.25,93.32,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Caribou Pass","Winter (Oct-Apr)","min",-18.63,-21.42,-Inf,0,788.58,29.64,-20.25,0.01,271.82,0.39,3.26,Inf,Inf,Inf,Inf,Inf,Inf
"Caribou Pass","Winter (Oct-Apr)","obs_na",21,0,0,0,0,21,21,0,0,0,0,96,96,96,96,96,96
"Cassiar Mt","Summer (May-Sep)","mean",6.81,4,10.07,1.87,837.47,79.6,3.21,0.57,0.1,6.83,187.13,NA,NA,NA,NA,NA,NA
"Cassiar Mt","Summer (May-Sep)","max",19.44,15.46,24.1,34.6,852.73,99.63,11.81,2.71,89.9,20.22,375.05,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Cassiar Mt","Summer (May-Sep)","min",-3.77,-7.19,-2.77,0,824.61,38.13,-7.42,0,278.63,0,18.43,Inf,Inf,Inf,Inf,Inf,Inf
"Cassiar Mt","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,319,319,319,319,319,319
"Cassiar Mt","Winter (Oct-Apr)","mean",-9.27,-11.81,-6.49,0.27,829.57,84.66,-11.54,0.5,358.04,5.74,66.9,NA,NA,NA,NA,NA,NA
"Cassiar Mt","Winter (Oct-Apr)","max",7.59,4.61,11.05,21.2,848.91,99.7,3.02,7.11,88.79,28.57,276.5,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Cassiar Mt","Winter (Oct-Apr)","min",-29.89,-32.91,-27.83,0,803.25,37.35,-32.21,0,271.13,0,4.57,Inf,Inf,Inf,Inf,Inf,Inf
"Cassiar Mt","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,0,0,0,424,424,424,424,424,424
"Central Plateau Finlay","Summer (May-Sep)","mean",13.28,Inf,-Inf,1.59,945.33,75.27,7.88,4.1,353.76,-Inf,123.76,NA,NA,NA,NA,35.35,NA
"Central Plateau Finlay","Summer (May-Sep)","max",27.3,Inf,38.59,31,964.05,100,18.33,127.54,89.96,8.72,356.45,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Central Plateau Finlay","Summer (May-Sep)","min",0.9,-5.31,-Inf,0,919.28,21.25,-20.8,0,270.14,-Inf,14.99,Inf,Inf,Inf,Inf,0,Inf
"Central Plateau Finlay","Summer (May-Sep)","obs_na",27,0,0,153,126,30,30,27,27,0,27,2500,2500,2500,2500,157,2500
"Central Plateau Finlay","Winter (Oct-Apr)","mean",-1.8,Inf,-Inf,1.07,944.63,81.17,-5.2,1.55,349.47,-Inf,42.22,NA,NA,NA,NA,28.32,NA
"Central Plateau Finlay","Winter (Oct-Apr)","max",17.15,Inf,26.09,41.4,977.55,100,11.07,70.14,89.89,11.69,311.56,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Central Plateau Finlay","Winter (Oct-Apr)","min",-37.8,-42.08,-Inf,0,908.36,20.02,-41.21,0,270.02,-Inf,0.82,Inf,Inf,Inf,Inf,0,Inf
"Central Plateau Finlay","Winter (Oct-Apr)","obs_na",90,0,0,90,139,109,109,103,90,0,90,3412,3412,3412,3412,303,3412
"Chapman","Summer (May-Sep)","mean",11.59,2.86,19.71,1.32,918.13,71.37,5.54,0.21,12,5.23,196.84,0.27,0.23,0.27,12.66,NA,NA
"Chapman","Summer (May-Sep)","max",20.22,13.88,32.1,34.8,929.58,98.02,12.7,1.13,89.78,10.57,351.35,0.56,0.56,0.54,18.5,-Inf,-Inf
"Chapman","Summer (May-Sep)","min",2.14,-5.48,5.62,0,899.2,41.41,-4.46,0,270.19,2.52,29.52,0.09,0.06,0.09,2.94,Inf,Inf
"Chapman","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,381,381
"Chapman","Winter (Oct-Apr)","mean",-5.39,-11.12,0.16,0.86,915.02,84.72,-7.92,0.08,0.82,3.35,61.5,0.28,0.22,0.29,2.66,NA,NA
"Chapman","Winter (Oct-Apr)","max",10.39,4.53,21.44,19,946.75,99.98,6.06,1.34,89.63,11.58,262.12,0.55,0.56,0.53,9.79,-Inf,-Inf
"Chapman","Winter (Oct-Apr)","min",-38.86,-42.81,-31.19,0,887.28,42.52,-41.46,0,270.72,0,1.23,0.08,0.07,0.1,-2.3,Inf,Inf
"Chapman","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,424,424
"character(0)","Summer (May-Sep)","mean",12.55,Inf,-Inf,1.79,924.63,76.17,7.61,0.24,358.14,5.18,188.01,0.24,0.4,0.32,10.34,NA,0.11
"character(0)","Summer (May-Sep)","max",27.8,Inf,38.53,28.4,949.89,99.16,17.44,1.84,89.72,13.59,365.78,0.56,0.57,0.52,14.97,-Inf,11.17
"character(0)","Summer (May-Sep)","min",0.35,-7.67,-Inf,0,884.4,44.14,-5.4,0,270.43,1.51,23.8,0.13,0.34,0.2,0.84,Inf,0
"character(0)","Summer (May-Sep)","obs_na",94,0,0,0,0,94,94,0,142,0,0,0,946,782,782,1162,550
"character(0)","Winter (Oct-Apr)","mean",-2.4,Inf,-Inf,1.39,923.78,83.14,-5.29,0.28,349.37,5.17,64.75,0.24,0.41,0.4,2.05,NA,22.7
"character(0)","Winter (Oct-Apr)","max",15.81,Inf,25.4,32,963.18,100,10.7,2.45,89.95,18.12,282.45,0.54,0.59,0.52,9.55,-Inf,91.64
"character(0)","Winter (Oct-Apr)","min",-38.63,-45.01,-Inf,0,872.45,40.02,-41.69,0,270.32,0,1.49,0.09,0.22,0.22,0.42,Inf,0
"character(0)","Winter (Oct-Apr)","obs_na",212,0,0,0,0,212,212,0,212,0,0,0,1299,1157,1157,1581,667
"Chief Lake","Summer (May-Sep)","mean",12.58,4.25,20.72,1.77,927.9,74.68,7.25,0.04,359.39,3.19,185,0.21,NA,NA,NA,41.93,NA
"Chief Lake","Summer (May-Sep)","max",26.57,14.96,38.28,23.2,946.52,99.31,16.13,1.07,89.38,9.56,336.92,0.44,-Inf,-Inf,-Inf,100,-Inf
"Chief Lake","Summer (May-Sep)","min",0.25,-9.3,4.32,0,911.27,38.2,-5.89,0,270.42,0,25.2,0.11,Inf,Inf,Inf,1.59,Inf
"Chief Lake","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,697,697,697,0,697
"Chief Lake","Winter (Oct-Apr)","mean",-3.39,-9.13,1.8,1.19,926.79,82.79,-6.36,0.1,359.07,3.63,59.63,0.2,NA,NA,NA,33.15,NA
"Chief Lake","Winter (Oct-Apr)","max",12.29,6.28,23.62,23.4,958.42,100,9.69,1.97,89.5,12.08,279.89,0.52,-Inf,-Inf,-Inf,100,-Inf
"Chief Lake","Winter (Oct-Apr)","min",-36.49,-43.3,-26.91,0,899.19,38.87,-39.57,0,270.28,0,1.7,0,Inf,Inf,Inf,0,Inf
"Chief Lake","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,0,0,0,3,849,849,849,0,849
"Coalmine","Summer (May-Sep)","mean",12.56,Inf,-Inf,2.24,918.74,76.07,7.71,0,353.78,-Inf,65.44,0.1,NA,NA,NA,NA,NA
"Coalmine","Summer (May-Sep)","max",29.73,Inf,39.8,33.2,936.06,98.87,16.81,0.04,88.96,7.55,148.03,0.15,-Inf,-Inf,-Inf,-Inf,-Inf
"Coalmine","Summer (May-Sep)","min",0.03,-5.79,-Inf,0,902.88,40.98,-5.16,0,270.42,-Inf,12.01,0.02,Inf,Inf,Inf,Inf,Inf
"Coalmine","Summer (May-Sep)","obs_na",15,0,0,15,15,15,15,15,15,0,44,153,854,854,854,854,854
"Coalmine","Winter (Oct-Apr)","mean",-2.28,-6.38,1.97,1.56,916.82,83.81,-4.99,0,342.26,2.99,22.48,0.1,NA,NA,NA,NA,NA
"Coalmine","Winter (Oct-Apr)","max",14.82,9.95,24.87,26.6,945.91,100,11.38,0.15,89.28,7.55,97.7,0.15,-Inf,-Inf,-Inf,-Inf,-Inf
"Coalmine","Winter (Oct-Apr)","min",-37.86,-41.39,-31.84,0,878.32,38.92,-40.83,0,270.12,0,0.76,0.01,Inf,Inf,Inf,Inf,Inf
"Coalmine","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,0,0,36,441,1142,1142,1142,1142,1142
"Crystal Lake","Summer (May-Sep)","mean",12.56,Inf,-Inf,1.91,927.06,71.36,6.56,0.98,9.61,-Inf,210.29,0.1,NA,NA,NA,31.33,NA
"Crystal Lake","Summer (May-Sep)","max",27.69,Inf,38.31,53.4,945.14,96.05,16.75,4.22,89.38,18.74,423.19,0.17,-Inf,-Inf,-Inf,100,-Inf
"Crystal Lake","Summer (May-Sep)","min",0.42,-9,-Inf,0,902.65,30.79,-9.95,0.02,270.02,-Inf,25.46,0.04,Inf,Inf,Inf,0,Inf
"Crystal Lake","Summer (May-Sep)","obs_na",54,0,0,85,54,54,54,68,627,0,173,1239,2142,2142,2142,85,2142
"Crystal Lake","Winter (Oct-Apr)","mean",-3.43,Inf,-Inf,1.47,925.54,82.71,-6.26,0.82,356.53,-Inf,69.88,0.1,NA,NA,NA,30.5,NA
"Crystal Lake","Winter (Oct-Apr)","max",16.11,Inf,24.63,41.8,955.4,98.04,9.92,4.2,89.98,26.72,315.68,0.18,-Inf,-Inf,-Inf,100,-Inf
"Crystal Lake","Winter (Oct-Apr)","min",-37.79,-44.87,-Inf,0,897.7,44.05,-41.27,0,270.13,-Inf,0.6,0,Inf,Inf,Inf,0,Inf
"Crystal Lake","Winter (Oct-Apr)","obs_na",217,0,0,217,217,217,217,237,885,0,279,1580,2770,2770,2770,217,2770
"Dunster","Summer (May-Sep)","mean",13.08,7.68,19.26,1.7,912.78,73.28,7.7,0.53,3.69,5.57,200.38,0.12,NA,NA,NA,NA,0
"Dunster","Summer (May-Sep)","max",27.01,18.75,37.21,26.2,928.8,96.98,16.63,5.72,89.96,14.1,405.03,0.27,-Inf,-Inf,-Inf,-Inf,0
"Dunster","Summer (May-Sep)","min",-0.21,-3.57,4.04,0,890.5,33.87,-7.66,0,270.14,1.01,22.59,0,Inf,Inf,Inf,Inf,0
"Dunster","Summer (May-Sep)","obs_na",0,0,0,0,0,0,79,0,0,0,0,430,1504,1504,1504,1504,1426
"Dunster","Winter (Oct-Apr)","mean",-1.71,-4.81,1.49,1.06,911.46,82.18,-4.77,0.7,340.32,5.86,63.88,0.15,NA,NA,NA,NA,9.48
"Dunster","Winter (Oct-Apr)","max",15.28,11.2,25.89,32.6,937.07,97.61,10.47,3.13,89.96,15.21,323.65,0.41,-Inf,-Inf,-Inf,-Inf,30.64
"Dunster","Winter (Oct-Apr)","min",-30.94,-32.6,-29.32,0,883,37.78,-33.37,0,270.01,0,2.02,0,Inf,Inf,Inf,Inf,0
"Dunster","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,97,0,0,0,0,642,2007,2007,2007,2007,1910
"Endako","Summer (May-Sep)","mean",11.27,Inf,-Inf,1.4,917.23,70.69,5.35,0.87,359.2,-Inf,222.25,0.08,NA,NA,NA,31.06,NA
"Endako","Summer (May-Sep)","max",25.4,Inf,36.77,40.2,935.75,96.56,16.15,3.51,89.8,16.14,419.68,0.51,-Inf,-Inf,-Inf,100,-Inf
"Endako","Summer (May-Sep)","min",-0.44,-8.16,-Inf,0,889.48,36.08,-7.49,0,270.15,-Inf,24.42,0,Inf,Inf,Inf,0,Inf
"Endako","Summer (May-Sep)","obs_na",9,0,0,26,36,9,9,5,5,0,0,1419,2399,2399,2399,0,2399
"Endako","Winter (Oct-Apr)","mean",-3.72,-8.89,1.29,0.81,913.89,81.17,-6.76,0.69,1.41,4.84,76.71,0.12,NA,NA,NA,34.11,NA
"Endako","Winter (Oct-Apr)","max",13.61,9.85,23.02,34,943.42,97.23,9.98,4.01,89.97,18.37,319.37,0.52,-Inf,-Inf,-Inf,100,-Inf
"Endako","Winter (Oct-Apr)","min",-34.22,-40.06,-26.08,0,879.18,38.02,-37.23,0,270.03,0,1.96,0,Inf,Inf,Inf,0,Inf
"Endako","Winter (Oct-Apr)","obs_na",0,0,0,0,208,0,0,0,4,0,0,2186,3370,3370,3370,0,3370
"George Lake","Summer (May-Sep)","mean",12.05,Inf,-Inf,1.32,913.69,69.29,5.71,0.47,5.14,4.45,181.96,0.09,NA,NA,10.49,29.76,NA
"George Lake","Summer (May-Sep)","max",28.31,Inf,38.25,66.61,932.04,99.01,14.78,3.01,89.97,12.99,375.52,0.23,-Inf,-Inf,12.89,100,-Inf
"George Lake","Summer (May-Sep)","min",0.04,-6.42,-Inf,0,886.68,29.56,-8.17,0,270.07,0.5,26.34,0,Inf,Inf,8.11,0,Inf
"George Lake","Summer (May-Sep)","obs_na",342,0,0,187,0,342,342,0,206,0,204,1609,2395,2395,2355,113,2395
"George Lake","Winter (Oct-Apr)","mean",-3.36,Inf,-Inf,0.84,910.79,81.83,-6.41,0.44,359.79,3.84,61.49,0.09,NA,NA,6.44,38.08,NA
"George Lake","Winter (Oct-Apr)","max",14.21,Inf,25.65,28.6,940.04,100,10.35,4.39,89.89,15.21,301.13,0.23,-Inf,-Inf,8.91,100,-Inf
"George Lake","Winter (Oct-Apr)","min",-34.1,-39.22,-Inf,0,875.77,39.01,-37.22,0,270.08,0,0.92,0,Inf,Inf,2.28,0,Inf
"George Lake","Winter (Oct-Apr)","obs_na",218,0,0,284,0,218,218,0,273,0,212,2205,3413,3413,3384,206,3413
"Gnat Pass","Summer (May-Sep)","mean",6.39,3.6,9.71,1.89,831.47,77.34,2.27,3.62,12.44,11.53,193.87,NA,NA,NA,NA,NA,NA
"Gnat Pass","Summer (May-Sep)","max",17.99,14.19,22.01,21.4,846.79,98.61,9.43,11.31,89.84,33.77,396.76,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Gnat Pass","Summer (May-Sep)","min",-6.22,-9.51,-2.22,0,802.8,26.1,-12.1,0,270.03,0,32.18,Inf,Inf,Inf,Inf,Inf,Inf
"Gnat Pass","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,679,679,679,679,679,679
"Gnat Pass","Winter (Oct-Apr)","mean",-6.77,-8.95,-4.54,0.18,822.95,83.03,-9.45,3.16,8.64,9.71,71.34,NA,NA,NA,NA,NA,NA
"Gnat Pass","Winter (Oct-Apr)","max",10,5.82,13.26,11.8,847.56,97.96,5.37,12.22,89.5,36.55,308.44,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
