"Site","months","monthly","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Atlin Monarch Mt","Jan","mean",-12.09,-14.64,-9.76,0.09,846.78,91.12,-13.26,1.31,9.22,5.16,15.99
"Atlin Monarch Mt","Jan","max",3.34,1.75,5.44,10.6,857.2,98.63,0.86,7.07,87,17.25,74.26
"Atlin Monarch Mt","Jan","min",-34.72,-36.15,-33.06,0,835.7,74.03,-37.13,0,270.15,0,3.47
"Atlin Monarch Mt","Jan","obs_na",124,124,124,62,217,124,124,124,186,124,124
"Atlin Monarch Mt","Feb","mean",-10.76,-13.22,-8.46,0.01,853.83,86.44,-12.76,2.24,356.69,7.4,48.31
"Atlin Monarch Mt","Feb","max",-1.08,-2.63,0.63,0.6,868.5,98.62,-2.2,8.2,83.68,21.14,107.9
"Atlin Monarch Mt","Feb","min",-28.22,-29.93,-27.21,0,832.7,30.68,-30.13,0,270.24,0,11.13
"Atlin Monarch Mt","Feb","obs_na",113,113,113,56,198,113,113,127,170,127,113
"Atlin Monarch Mt","Mar","mean",-10.73,-13.26,-8.15,0.03,851.65,81.38,-13.46,2.7,26.32,8.35,118.45
"Atlin Monarch Mt","Mar","max",2.79,0.91,5.13,0.8,862.4,96.19,-2.29,6.46,87.98,17.44,204.36
"Atlin Monarch Mt","Mar","min",-25.31,-27.15,-23.52,0,834.5,41.15,-29.8,0,270.44,0,47.38
"Atlin Monarch Mt","Mar","obs_na",124,124,124,62,217,124,124,155,186,155,124
"Atlin Monarch Mt","Apr","mean",-4.83,-7.47,-2.04,0.19,850.39,77.07,-8.41,3.66,18.28,10.4,190.57
"Atlin Monarch Mt","Apr","max",0.92,-0.85,4.35,6.4,858.7,98.2,-1.62,7.41,89.68,20.59,307.75
"Atlin Monarch Mt","Apr","min",-15.65,-18.56,-12.57,0,841.5,47.17,-19.51,1.13,274.34,5.01,70.77
"Atlin Monarch Mt","Apr","obs_na",120,120,120,60,210,120,120,167,180,167,120
"Atlin Monarch Mt","May","mean",2.36,-0.65,5.52,0.66,854.24,72.93,-2.52,2.92,31.13,9.38,247.43
"Atlin Monarch Mt","May","max",13.65,10.12,18.34,15,862.6,99,4.12,6.02,87.86,14.59,395.78
"Atlin Monarch Mt","May","min",-4.98,-7.94,-2.57,0,846.6,32.55,-11.76,0.88,272.18,4.08,67.9
"Atlin Monarch Mt","May","obs_na",124,124,124,62,217,124,124,186,186,186,124
"Atlin Monarch Mt","Jun","mean",6.71,3.14,10.8,0.76,854.49,71.86,1.53,2.65,32.88,9.12,263.85
"Atlin Monarch Mt","Jun","max",17.09,13.31,22.13,7.8,863.7,100,8.97,4.82,87.48,12.99,383.07
"Atlin Monarch Mt","Jun","min",0.08,-2.48,1.51,0,846.3,38.32,-4.85,0.36,270.72,4.82,76.03
"Atlin Monarch Mt","Jun","obs_na",120,120,120,60,210,120,120,180,180,180,120
"Atlin Monarch Mt","Jul","mean",9,5.51,13.1,0.97,862.77,72.23,3.85,2.47,33.5,8.32,233.98
"Atlin Monarch Mt","Jul","max",18.86,14.43,22.92,18,870.5,97.06,8.72,4.22,88.98,12.58,362.18
"Atlin Monarch Mt","Jul","min",2.62,-1.19,4.53,0,855.3,45.83,-1.51,0.31,270.73,4.53,41.72
"Atlin Monarch Mt","Jul","obs_na",124,124,124,62,217,124,124,186,186,186,124
"Atlin Monarch Mt","Aug","mean",7.1,4.39,10.64,1.69,854.72,81.28,3.81,2.88,26.98,8.84,161.44
"Atlin Monarch Mt","Aug","max",17.98,14.96,22.85,24.2,867.3,99.4,8.98,5.02,88.49,14.59,306.03
"Atlin Monarch Mt","Aug","min",2.23,-0.48,3.91,0,846.3,46.85,-0.46,0.8,274.24,4.64,9.05
"Atlin Monarch Mt","Aug","obs_na",122,122,122,57,215,122,122,153,170,153,110
"Atlin Monarch Mt","Sep","mean",3.4,1,6.29,1.61,854.08,84.6,0.84,2.79,15.35,9.05,107.27
"Atlin Monarch Mt","Sep","max",13.61,9.09,18.34,17.2,863,100,8.51,7.05,83.31,23.01,224.83
"Atlin Monarch Mt","Sep","min",-2.14,-3.84,-1.21,0,842.9,44.34,-6.02,0.1,286.35,3.52,22.7
"Atlin Monarch Mt","Sep","obs_na",120,120,120,60,210,120,120,120,150,120,90
"Atlin Monarch Mt","Oct","mean",-3.03,-4.7,-1.16,0.44,850.64,88.15,-4.86,2.96,17.13,9.99,56.03
"Atlin Monarch Mt","Oct","max",9.05,6.31,13.69,11.2,867.5,100,5.25,8.29,83.35,22.26,132.8
"Atlin Monarch Mt","Oct","min",-17.11,-19.1,-16.24,0,825.9,42.53,-18.4,0,273.83,0,12.02
"Atlin Monarch Mt","Oct","obs_na",124,124,124,62,217,124,124,124,155,124,93
"Atlin Monarch Mt","Nov","mean",-11.77,-14.16,-9.51,0.03,847.24,91.09,-12.96,2.12,7.82,7.15,21.35
"Atlin Monarch Mt","Nov","max",-1.33,-2.45,1.67,3,869.2,99.23,-1.79,9.57,89.63,22.82,63.63
"Atlin Monarch Mt","Nov","min",-27,-29.32,-24.65,0,830.9,76.5,-28.85,0,271.78,0,3.88
"Atlin Monarch Mt","Nov","obs_na",120,120,120,60,210,120,120,109,150,109,90
"Atlin Monarch Mt","Dec","mean",-12.06,-14.19,-9.94,0.04,871.85,87.19,-13.9,2,28.01,7.74,8.91
"Atlin Monarch Mt","Dec","max",2.25,1.75,4.25,1.8,1054.8,99.7,-0.35,8.96,87.7,39.33,19.72
