"Site","years","months","monthly","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Atlin Monarch Mt","2010","Dec","min",-25.57,-27.9,-23.62,0,Inf,66.84,-27.42,0,308.67,0,1.6
"Atlin Monarch Mt","2010","Dec","obs_na",0,0,0,0,31,0,0,0,0,0,0
"Atlin Monarch Mt","2011","Jan","mean",-12.63,-14.97,-10.56,0,NA,90.85,-13.82,2.07,7.99,6.33,16.57
"Atlin Monarch Mt","2011","Jan","max",-3.63,-4.05,-2.77,0,-Inf,98.63,-4.51,6.21,85.3,16.51,44.57
"Atlin Monarch Mt","2011","Jan","min",-32.62,-33.38,-31.85,0,Inf,74.03,-34.84,0,270.15,0,3.47
"Atlin Monarch Mt","2011","Jan","obs_na",0,0,0,0,31,0,0,0,0,0,0
"Atlin Monarch Mt","2011","Feb","mean",-14.16,-17.16,-11.34,0,NA,88.62,-15.66,3.93,13.48,9.7,44.12
"Atlin Monarch Mt","2011","Feb","max",-1.08,-2.63,0.63,0,-Inf,96.45,-2.2,8.2,74.4,18.74,105.3
"Atlin Monarch Mt","2011","Feb","min",-28.22,-29.93,-27.21,0,Inf,70.55,-30.13,0,314.37,0.19,17.13
"Atlin Monarch Mt","2011","Feb","obs_na",0,0,0,0,28,0,0,0,0,0,0
"Atlin Monarch Mt","2011","Mar","mean",-13.06,-15.39,-10.57,0.03,NA,77.85,-16.25,2.81,21.08,7.87,125.05
"Atlin Monarch Mt","2011","Mar","max",-1.7,-3.84,1.18,0.8,-Inf,94.89,-5.32,5.88,84.18,16.51,178.33
"Atlin Monarch Mt","2011","Mar","min",-25.31,-27.15,-23.52,0,Inf,52.32,-29.8,1,270.44,2.97,68.95
"Atlin Monarch Mt","2011","Mar","obs_na",0,0,0,0,31,0,0,0,0,0,0
"Atlin Monarch Mt","2011","Apr","mean",-4.93,-7.24,-2.46,0,NA,76.33,-8.56,3.86,16.78,10.67,192.53
"Atlin Monarch Mt","2011","Apr","max",-0.74,-3.42,2.61,0,-Inf,85.19,-5.27,6.93,89.68,20.59,285.3
"Atlin Monarch Mt","2011","Apr","min",-7.61,-10.58,-5.67,0,Inf,62.95,-12.38,1.3,277.52,5.01,94.89
"Atlin Monarch Mt","2011","Apr","obs_na",0,0,0,0,30,0,0,0,0,0,0
"Atlin Monarch Mt","2011","May","mean",3.26,0.27,6.37,0.7,NA,71.93,-2.1,2.53,4.47,8.25,220.6
"Atlin Monarch Mt","2011","May","max",13.65,10.12,18.34,9.8,-Inf,99,3.46,4.38,87.86,11.69,326.35
"Atlin Monarch Mt","2011","May","min",-2.63,-5.42,-0.96,0,Inf,32.55,-11.76,1.07,274.25,4.08,67.9
"Atlin Monarch Mt","2011","May","obs_na",0,0,0,0,31,0,0,0,0,0,0
"Atlin Monarch Mt","2011","Jun","mean",6.54,2.77,10.97,0.54,NA,68.02,0.64,3.04,16.66,9.26,257.21
"Atlin Monarch Mt","2011","Jun","max",13.4,9.06,18.3,7.4,-Inf,86.45,6.9,4.82,80.97,12.99,354.33
"Atlin Monarch Mt","2011","Jun","min",2.16,-0.96,5.44,0,Inf,42.58,-2.84,1.48,277.98,4.82,143.94
"Atlin Monarch Mt","2011","Jun","obs_na",0,0,0,0,30,0,0,0,0,0,0
"Atlin Monarch Mt","2011","Jul","mean",7.91,4.54,12.06,0.42,NA,74.33,3.34,2.74,24.09,8.37,236.59
"Atlin Monarch Mt","2011","Jul","max",15.61,11.22,21.22,4.6,-Inf,88.74,6.44,4.22,86.93,11.87,337.45
"Atlin Monarch Mt","2011","Jul","min",4.11,0.11,6.64,0,Inf,50.57,-0.75,1.22,287.52,5.01,112.24
"Atlin Monarch Mt","2011","Jul","obs_na",0,0,0,0,31,0,0,0,0,0,0
"Atlin Monarch Mt","2011","Aug","mean",5.06,2.68,8.59,2.04,NA,85.37,2.63,3,0.07,8.73,156.88
"Atlin Monarch Mt","2011","Aug","max",8.38,6.76,12.65,15.6,-Inf,98.7,8.06,5.02,25.56,14.29,285.36
"Atlin Monarch Mt","2011","Aug","min",2.41,0.47,3.91,0,Inf,67.44,0.21,1.13,293.3,4.82,72.07
"Atlin Monarch Mt","2011","Aug","obs_na",0,0,0,0,31,0,0,0,0,0,0
"Atlin Monarch Mt","2011","Sep","mean",2.27,0.12,4.74,1.9,NA,85.15,-0.22,3.63,350.48,10.9,104.43
"Atlin Monarch Mt","2011","Sep","max",8.83,4.97,12.78,9.4,-Inf,96.95,4.45,7.05,50.89,23.01,192.96
"Atlin Monarch Mt","2011","Sep","min",-2.14,-3.84,-1.21,0,Inf,44.34,-2.93,1.16,287.45,5.01,41.4
"Atlin Monarch Mt","2011","Sep","obs_na",0,0,0,0,30,0,0,0,0,0,0
"Atlin Monarch Mt","2011","Oct","mean",-2.35,-3.79,-0.67,0.23,NA,89.43,-3.92,3.42,358.75,10.11,58.51
"Atlin Monarch Mt","2011","Oct","max",-0.34,-1.1,2.61,3,-Inf,100,-0.38,7.33,59.84,18.55,122.8
"Atlin Monarch Mt","2011","Oct","min",-5.27,-7.25,-4.14,0,Inf,67.87,-7.42,0.41,282.08,3.71,23
"Atlin Monarch Mt","2011","Oct","obs_na",0,0,0,0,31,0,0,0,0,0,0
"Atlin Monarch Mt","2011","Nov","mean",-12.18,-14.8,-9.94,0,NA,91.07,-13.36,2.24,352.46,7.12,19.75
"Atlin Monarch Mt","2011","Nov","max",-2.75,-5.95,-2.02,0,-Inf,96.33,-4.15,8.23,63.35,22.82,39.98
"Atlin Monarch Mt","2011","Nov","min",-27,-29.32,-24.65,0,Inf,84.17,-28.85,0,271.78,0.19,8.47
"Atlin Monarch Mt","2011","Nov","obs_na",0,0,0,0,30,0,0,0,0,0,0
"Atlin Monarch Mt","2011","Dec","mean",-7.86,-9.85,-5.99,0.03,NA,91.32,-9.07,1.96,48.57,10,9.37
"Atlin Monarch Mt","2011","Dec","max",-1.08,-3.84,4.25,0.8,-Inf,97.94,-2.4,7.17,66.24,39.33,17.32
"Atlin Monarch Mt","2011","Dec","min",-14.38,-17.34,-13.47,0,Inf,77.8,-16.55,0,40.52,0,3.94
"Atlin Monarch Mt","2011","Dec","obs_na",0,0,0,0,31,0,0,0,27,0,5
"Atlin Monarch Mt","2012","Jan","mean",-14.77,-17.35,-12.17,0,NA,91.15,-15.89,0.15,NA,4.15,NA
"Atlin Monarch Mt","2012","Jan","max",-4.65,-6.71,-2.89,0,-Inf,98.56,-4.86,0.87,-Inf,17.07,-Inf
"Atlin Monarch Mt","2012","Jan","min",-31.38,-32.91,-29.52,0,Inf,81.11,-33.58,0,Inf,0.37,Inf
"Atlin Monarch Mt","2012","Jan","obs_na",0,0,0,0,31,0,0,0,31,0,31
"Atlin Monarch Mt","2012","Feb","mean",-8.17,-10.26,-6.29,0.01,NA,87.74,-9.92,0.25,NA,5.42,NA
"Atlin Monarch Mt","2012","Feb","max",-4.43,-5.51,-1.02,0.2,-Inf,98.62,-4.66,1.23,-Inf,15.59,-Inf
"Atlin Monarch Mt","2012","Feb","min",-16.84,-19.19,-14.63,0,Inf,59.52,-18.95,0,Inf,0.37,Inf
"Atlin Monarch Mt","2012","Feb","obs_na",0,0,0,0,29,0,0,14,29,14,29
"Atlin Monarch Mt","2012","Mar","mean",-9.33,-12.09,-6.81,0.05,NA,84.78,-11.49,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Mar","max",-2.76,-5.82,0.44,0.8,-Inf,95.5,-5.01,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Mar","min",-15.05,-17.94,-12.9,0,Inf,68.39,-16.95,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Mar","obs_na",0,0,0,0,31,0,0,31,31,31,31
"Atlin Monarch Mt","2012","Apr","mean",-2.28,-5.05,0.54,0.18,NA,75.98,-6.13,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Apr","max",0.92,-0.85,3.54,1.8,-Inf,93.33,-2.01,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Apr","min",-6.73,-9.64,-4.59,0,Inf,54.68,-12.36,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Apr","obs_na",0,0,0,0,30,0,0,30,30,30,30
"Atlin Monarch Mt","2012","May","mean",-0.21,-2.69,2.54,0.58,NA,80.99,-3.21,NA,NA,NA,NA
"Atlin Monarch Mt","2012","May","max",6.7,3.09,9.95,6.8,-Inf,97.57,3.1,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","May","min",-4.47,-7.03,-2.57,0,Inf,68.39,-8.47,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","May","obs_na",0,0,0,0,31,0,0,31,31,31,31
"Atlin Monarch Mt","2012","Jun","mean",5.47,2.16,9.16,0.99,NA,75.63,1.13,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Jun","max",17.05,13.31,20.98,7.6,-Inf,100,6.18,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Jun","min",0.69,-2.48,2.69,0,Inf,44.5,-4.85,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Jun","obs_na",0,0,0,0,30,0,0,30,30,30,30
"Atlin Monarch Mt","2012","Jul","mean",7.7,4.07,11.83,0.8,NA,73.94,3.08,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Jul","max",13.82,9.53,19.27,7.2,-Inf,89.29,6.75,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Jul","min",2.62,-1.19,4.53,0,Inf,59.93,-1.51,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Jul","obs_na",0,0,0,0,31,0,0,31,31,31,31
"Atlin Monarch Mt","2012","Aug","mean",7.1,4.28,10.76,1.34,NA,80.99,3.78,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Aug","max",10.99,7.67,15.53,11.4,-Inf,97.52,8.36,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Aug","min",2.23,-0.48,4.51,0,Inf,52.77,-0.46,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Aug","obs_na",0,0,0,0,31,0,0,31,31,31,31
"Atlin Monarch Mt","2012","Sep","mean",3.18,0.77,6.33,1.44,NA,85.37,0.83,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Sep","max",11.25,7.59,14.96,9.4,-Inf,96,7.53,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Sep","min",-1.98,-3.69,-0.31,0,Inf,71.83,-4.38,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Sep","obs_na",0,0,0,0,30,0,0,30,30,30,30
"Atlin Monarch Mt","2012","Oct","mean",-5.55,-7.53,-3.44,0.03,NA,87.42,-7.42,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Oct","max",9.05,6.31,13.69,0.2,-Inf,99.36,5.25,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Oct","min",-17.11,-19.1,-16.24,0,Inf,64.52,-18.4,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Oct","obs_na",0,0,0,0,31,0,0,31,31,31,31
"Atlin Monarch Mt","2012","Nov","mean",-12.96,-15.33,-10.85,0,NA,92.38,-13.95,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Nov","max",-3.64,-4.5,-2.83,0,-Inf,98.58,-4.02,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Nov","min",-23.88,-25.67,-22.27,0,Inf,86.3,-25.55,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Nov","obs_na",0,0,0,0,30,0,0,30,30,30,30
"Atlin Monarch Mt","2012","Dec","mean",-16.12,-18.24,-13.87,0,NA,90.03,-17.38,NA,NA,NA,NA
"Atlin Monarch Mt","2012","Dec","max",-3.04,-3.72,-2.33,0,-Inf,97.53,-4.03,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2012","Dec","min",-26.83,-29.32,-25.1,0,Inf,84.2,-28.72,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2012","Dec","obs_na",0,0,0,0,31,0,0,31,31,31,31
"Atlin Monarch Mt","2013","Jan","mean",-9.64,-12.44,-7.32,0.19,NA,91.34,-10.81,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Jan","max",1.25,-1.24,2.64,6,-Inf,98.18,-0.82,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Jan","min",-34.72,-36.15,-33.06,0,Inf,78.94,-37.13,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Jan","obs_na",0,0,0,0,31,0,0,31,31,31,31
"Atlin Monarch Mt","2013","Feb","mean",-7.19,-8.97,-5.57,0.01,NA,89.81,-8.62,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Feb","max",-3.11,-4.11,-1.56,0.2,-Inf,97.45,-3.71,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Feb","min",-10.72,-12.27,-9.61,0,Inf,76.99,-12.69,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Feb","obs_na",0,0,0,0,28,0,0,28,28,28,28
"Atlin Monarch Mt","2013","Mar","mean",-11.53,-14.24,-8.63,0.01,NA,83,-13.97,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Mar","max",-3.55,-6.8,-0.68,0.2,-Inf,94.7,-5.4,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Mar","min",-21.41,-23.57,-18.79,0,Inf,59.72,-23.04,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Mar","obs_na",0,0,0,0,31,0,0,31,31,31,31
"Atlin Monarch Mt","2013","Apr","mean",-7.49,-10.34,-4.39,0.17,NA,81.07,-10.32,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Apr","max",-1.66,-3.69,0.61,2.2,-Inf,97.05,-3.28,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Apr","min",-15.65,-18.56,-12.57,0,Inf,58.89,-19.51,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Apr","obs_na",0,0,0,0,30,0,0,30,30,30,30
"Atlin Monarch Mt","2013","May","mean",3.22,-0.16,6.52,0.53,NA,68.93,-2.49,NA,NA,NA,NA
"Atlin Monarch Mt","2013","May","max",12.72,10.12,17.03,15,-Inf,92.14,4.12,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","May","min",-4.98,-7.94,-1.9,0,Inf,42.09,-9.37,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","May","obs_na",0,0,0,0,31,0,0,31,31,31,31
"Atlin Monarch Mt","2013","Jun","mean",8.78,5.06,12.92,0.99,NA,70.85,3.33,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Jun","max",15.76,11.05,21.82,5.4,-Inf,98.65,8.97,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Jun","min",0.69,-1.9,2.53,0,Inf,48.82,-2.46,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Jun","obs_na",0,0,0,0,30,0,0,30,30,30,30
"Atlin Monarch Mt","2013","Jul","mean",9.5,6,13.43,1.61,NA,72.99,4.42,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Jul","max",17.88,13.76,21.7,18,-Inf,97.06,8.72,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Jul","min",4.35,0.77,7.24,0,Inf,47.65,-0.96,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Jul","obs_na",0,0,0,0,31,0,0,31,31,31,31
"Atlin Monarch Mt","2013","Aug","mean",12.57,8.85,16.8,0.56,NA,70.33,6.82,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Aug","max",17.98,14.96,21.72,4.2,-Inf,93.75,8.98,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Aug","min",6.55,5.18,6.61,0,Inf,54.51,4.05,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Aug","obs_na",14,14,14,9,31,14,14,31,31,31,31
"Atlin Monarch Mt","2013","Sep","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Sep","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Sep","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Sep","obs_na",30,30,30,30,30,30,30,30,30,30,30
"Atlin Monarch Mt","2013","Oct","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Oct","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Oct","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Oct","obs_na",31,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2013","Nov","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Nov","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Nov","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Nov","obs_na",30,30,30,30,30,30,30,30,30,30,30
"Atlin Monarch Mt","2013","Dec","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2013","Dec","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2013","Dec","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2013","Dec","obs_na",31,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2014","Jan","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2014","Jan","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2014","Jan","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2014","Jan","obs_na",31,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2014","Feb","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2014","Feb","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2014","Feb","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2014","Feb","obs_na",28,28,28,28,28,28,28,28,28,28,28
"Atlin Monarch Mt","2014","Mar","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2014","Mar","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2014","Mar","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2014","Mar","obs_na",31,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2014","Apr","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2014","Apr","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2014","Apr","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2014","Apr","obs_na",30,30,30,30,30,30,30,30,30,30,30
"Atlin Monarch Mt","2014","May","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2014","May","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2014","May","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2014","May","obs_na",31,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2014","Jun","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2014","Jun","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2014","Jun","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2014","Jun","obs_na",30,30,30,30,30,30,30,30,30,30,30
"Atlin Monarch Mt","2014","Jul","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","2014","Jul","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","2014","Jul","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","2014","Jul","obs_na",31,31,31,31,31,31,31,31,31,31,31
"Atlin Monarch Mt","2014","Aug","mean",NA,NA,NA,0.52,NA,NA,NA,2.75,NA,8.36,146.19
"Atlin Monarch Mt","2014","Aug","max",-Inf,-Inf,-Inf,3,-Inf,-Inf,-Inf,4.54,-Inf,11.5,226.71
"Atlin Monarch Mt","2014","Aug","min",Inf,Inf,Inf,0,Inf,Inf,Inf,0.8,Inf,4.64,67.23
"Atlin Monarch Mt","2014","Aug","obs_na",31,31,31,14,31,31,31,14,31,14,14
"Atlin Monarch Mt","2014","Sep","mean",NA,NA,NA,1.91,NA,NA,NA,2.38,NA,8.57,102.19
"Atlin Monarch Mt","2014","Sep","max",-Inf,-Inf,-Inf,12.4,-Inf,-Inf,-Inf,5.25,-Inf,15.77,224.83
"Atlin Monarch Mt","2014","Sep","min",Inf,Inf,Inf,0,Inf,Inf,Inf,0.12,Inf,3.71,39.36
"Atlin Monarch Mt","2014","Sep","obs_na",30,30,30,0,30,30,30,0,30,0,0
"Atlin Monarch Mt","2014","Oct","mean",NA,NA,NA,0.79,NA,NA,NA,2.17,NA,8.45,53.76
"Atlin Monarch Mt","2014","Oct","max",-Inf,-Inf,-Inf,6.2,-Inf,-Inf,-Inf,5.6,-Inf,15.4,124.37
"Atlin Monarch Mt","2014","Oct","min",Inf,Inf,Inf,0,Inf,Inf,Inf,0,Inf,0,13.27
"Atlin Monarch Mt","2014","Oct","obs_na",31,31,31,0,31,31,31,0,31,0,0
"Atlin Monarch Mt","2014","Nov","mean",NA,NA,NA,0,NA,NA,NA,1.4,NA,5.58,26.36
"Atlin Monarch Mt","2014","Nov","max",-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,5.13,-Inf,14.47,63.63
"Atlin Monarch Mt","2014","Nov","min",Inf,Inf,Inf,0,Inf,Inf,Inf,0,Inf,0,7.95
"Atlin Monarch Mt","2014","Nov","obs_na",30,30,30,0,30,30,30,0,30,0,0
"Atlin Monarch Mt","2014","Dec","mean",NA,NA,NA,0.01,NA,NA,NA,2.26,NA,7.52,10.86
"Atlin Monarch Mt","2014","Dec","max",-Inf,-Inf,-Inf,0.2,-Inf,-Inf,-Inf,5.3,-Inf,14.47,18.63
"Atlin Monarch Mt","2014","Dec","min",Inf,Inf,Inf,0,Inf,Inf,Inf,0,Inf,0,4.93
"Atlin Monarch Mt","2014","Dec","obs_na",31,31,31,0,31,31,31,0,31,0,0
"Atlin Monarch Mt","2015","Jan","mean",NA,NA,NA,0,NA,NA,NA,1.97,NA,6.05,14.23
"Atlin Monarch Mt","2015","Jan","max",-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,6.87,-Inf,17.25,37.75
"Atlin Monarch Mt","2015","Jan","min",Inf,Inf,Inf,0,Inf,Inf,Inf,0,Inf,0,4.78
"Atlin Monarch Mt","2015","Jan","obs_na",31,31,31,0,31,31,31,0,31,0,0
"Atlin Monarch Mt","2015","Feb","mean",NA,NA,NA,0.04,NA,NA,NA,1.65,NA,5.59,46.68
"Atlin Monarch Mt","2015","Feb","max",-Inf,-Inf,-Inf,0.6,-Inf,-Inf,-Inf,6.73,-Inf,17.25,103.32
"Atlin Monarch Mt","2015","Feb","min",Inf,Inf,Inf,0,Inf,Inf,Inf,0,Inf,0,11.13
"Atlin Monarch Mt","2015","Feb","obs_na",28,28,28,0,28,28,28,0,28,0,0
"Atlin Monarch Mt","2015","Mar","mean",NA,NA,NA,0.03,NA,NA,NA,3.07,NA,9.32,119.79
"Atlin Monarch Mt","2015","Mar","max",-Inf,-Inf,-Inf,0.4,-Inf,-Inf,-Inf,6.46,-Inf,17.44,188.21
"Atlin Monarch Mt","2015","Mar","min",Inf,Inf,Inf,0,Inf,Inf,Inf,0,Inf,0,54.83
"Atlin Monarch Mt","2015","Mar","obs_na",31,31,31,0,31,31,31,0,31,0,0
