"Site","years","months","monthly","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Atlin Monarch Mt","2010","Aug","mean",4.52,2.54,6.89,3.77,NA,88.14,2.61,2.06,355.27,6.64,119.57
"Atlin Monarch Mt","2010","Aug","max",6.17,4.01,9.31,24.2,-Inf,99.4,3.9,3.16,59.13,8.35,233.38
"Atlin Monarch Mt","2010","Aug","min",3.69,0.88,4.97,0,Inf,72.15,0.76,1.54,278.63,5.01,9.05
"Atlin Monarch Mt","2010","Aug","obs_na",0,0,0,0,14,0,0,0,0,0,0
"Atlin Monarch Mt","2010","Sep","mean",3.31,0.97,5.96,2.08,NA,82.96,0.38,2.69,9.51,8.48,100.17
"Atlin Monarch Mt","2010","Sep","max",8.16,5.13,11.42,17.2,-Inf,100,4.55,4.82,83.31,15.03,173.48
"Atlin Monarch Mt","2010","Sep","min",-1.26,-3.27,0.36,0,Inf,57.69,-6.02,1.35,286.35,4.08,22.7
"Atlin Monarch Mt","2010","Sep","obs_na",0,0,0,0,30,0,0,0,0,0,0
"Atlin Monarch Mt","2010","Oct","mean",-2.47,-4.03,-0.67,0.51,NA,89.34,-4.09,3.59,8.82,11.13,57.63
"Atlin Monarch Mt","2010","Oct","max",5.44,1.72,9.98,6.4,-Inf,99.03,-0.74,8.29,78.68,22.26,110.2
"Atlin Monarch Mt","2010","Oct","min",-5.7,-7.54,-4.5,0,Inf,58.9,-8.51,1.01,273.83,5.01,15.82
"Atlin Monarch Mt","2010","Oct","obs_na",0,0,0,0,31,0,0,0,0,0,0
"Atlin Monarch Mt","2010","Nov","mean",-7.95,-10.14,-5.9,0.15,NA,91.95,-9.06,3.25,8.69,10.53,22.3
"Atlin Monarch Mt","2010","Nov","max",-1.33,-2.45,1.67,3,-Inf,99.23,-1.79,7.61,88.57,22.08,50.81
"Atlin Monarch Mt","2010","Nov","min",-18.69,-21.72,-15.75,0,Inf,77.83,-21.24,0.41,275.12,1.3,5.82
"Atlin Monarch Mt","2010","Nov","obs_na",0,0,0,0,30,0,0,0,0,0,0
"Atlin Monarch Mt","2010","Dec","mean",-16.26,-18.61,-14,0,NA,88.94,-17.71,0.91,21.25,3.27,6.05
"Atlin Monarch Mt","2010","Dec","max",-3.64,-6.04,-2.77,0,-Inf,94.72,-5.5,8.96,86.7,20.41,16.6
