"Site","WS","gseason","WD","n"
"Boulder Creek","(-Inf,3]","Winter","270",621
"Boulder Creek","(-Inf,3]","Winter","300",424
"Boulder Creek","(-Inf,3]","Winter","330",476
"Bowron Pit","(9, Inf]","Summer","30",9
"Bowron Pit","(9, Inf]","Winter","120",2
"Bowron Pit","(6,9]","Summer","0",2
"Bowron Pit","(6,9]","Summer","30",6
"Bowron Pit","(6,9]","Winter","0",1
"Bowron Pit","(6,9]","Winter","150",2
"Bowron Pit","(6,9]","Winter","330",1
"Bowron Pit","(3,6]","Summer","0",9
"Bowron Pit","(3,6]","Summer","30",17
"Bowron Pit","(3,6]","Summer","60",1
"Bowron Pit","(3,6]","Summer","120",2
"Bowron Pit","(3,6]","Winter","0",5
"Bowron Pit","(3,6]","Winter","60",4
"Bowron Pit","(3,6]","Winter","90",2
"Bowron Pit","(3,6]","Winter","120",29
"Bowron Pit","(3,6]","Winter","150",7
"Bowron Pit","(3,6]","Winter","180",2
"Bowron Pit","(3,6]","Winter","210",1
"Bowron Pit","(3,6]","Winter","240",1
"Bowron Pit","(3,6]","Winter","300",1
"Bowron Pit","(3,6]","Winter","330",1
"Bowron Pit","(-Inf,3]","Summer","0",44
"Bowron Pit","(-Inf,3]","Summer","30",39
"Bowron Pit","(-Inf,3]","Summer","60",37
"Bowron Pit","(-Inf,3]","Summer","90",47
"Bowron Pit","(-Inf,3]","Summer","120",55
"Bowron Pit","(-Inf,3]","Summer","150",17
"Bowron Pit","(-Inf,3]","Summer","180",15
"Bowron Pit","(-Inf,3]","Summer","210",4
"Bowron Pit","(-Inf,3]","Summer","240",20
"Bowron Pit","(-Inf,3]","Summer","270",23
"Bowron Pit","(-Inf,3]","Summer","300",58
"Bowron Pit","(-Inf,3]","Summer","330",14
"Bowron Pit","(-Inf,3]","Winter","0",57
"Bowron Pit","(-Inf,3]","Winter","30",19
"Bowron Pit","(-Inf,3]","Winter","60",24
"Bowron Pit","(-Inf,3]","Winter","90",51
"Bowron Pit","(-Inf,3]","Winter","120",106
"Bowron Pit","(-Inf,3]","Winter","150",91
"Bowron Pit","(-Inf,3]","Winter","180",74
"Bowron Pit","(-Inf,3]","Winter","210",24
"Bowron Pit","(-Inf,3]","Winter","240",14
"Bowron Pit","(-Inf,3]","Winter","270",36
"Bowron Pit","(-Inf,3]","Winter","300",82
"Bowron Pit","(-Inf,3]","Winter","330",70
"Bulkley","(6,9]","Summer","0",7
"Bulkley","(6,9]","Summer","120",3
"Bulkley","(6,9]","Summer","150",1
"Bulkley","(6,9]","Summer","270",2
"Bulkley","(6,9]","Summer","300",3
"Bulkley","(6,9]","Summer","330",34
"Bulkley","(6,9]","Winter","0",11
"Bulkley","(6,9]","Winter","120",35
"Bulkley","(6,9]","Winter","150",415
"Bulkley","(6,9]","Winter","180",37
"Bulkley","(6,9]","Winter","240",2
"Bulkley","(6,9]","Winter","270",6
"Bulkley","(6,9]","Winter","300",11
"Bulkley","(6,9]","Winter","330",101
"Bulkley","(3,6]","Summer","0",287
"Bulkley","(3,6]","Summer","30",51
"Bulkley","(3,6]","Summer","60",18
"Bulkley","(3,6]","Summer","90",84
"Bulkley","(3,6]","Summer","120",358
"Bulkley","(3,6]","Summer","150",327
"Bulkley","(3,6]","Summer","180",52
"Bulkley","(3,6]","Summer","210",124
"Bulkley","(3,6]","Summer","240",170
"Bulkley","(3,6]","Summer","270",238
"Bulkley","(3,6]","Summer","300",467
"Bulkley","(3,6]","Summer","330",730
"Bulkley","(3,6]","Winter","0",118
"Bulkley","(3,6]","Winter","30",16
"Bulkley","(3,6]","Winter","60",16
"Bulkley","(3,6]","Winter","90",71
"Bulkley","(3,6]","Winter","120",1317
"Bulkley","(3,6]","Winter","150",3194
"Bulkley","(3,6]","Winter","180",415
"Bulkley","(3,6]","Winter","210",100
"Bulkley","(3,6]","Winter","240",137
"Bulkley","(3,6]","Winter","270",161
"Bulkley","(3,6]","Winter","300",697
"Bulkley","(3,6]","Winter","330",876
"Bulkley","(-Inf,3]","Summer","0",2114
"Bulkley","(-Inf,3]","Summer","30",1607
"Bulkley","(-Inf,3]","Summer","60",2117
"Bulkley","(-Inf,3]","Summer","90",3081
"Bulkley","(-Inf,3]","Summer","120",4900
"Bulkley","(-Inf,3]","Summer","150",2951
"Bulkley","(-Inf,3]","Summer","180",1951
"Bulkley","(-Inf,3]","Summer","210",2108
"Bulkley","(-Inf,3]","Summer","240",2418
"Bulkley","(-Inf,3]","Summer","270",4579
"Bulkley","(-Inf,3]","Summer","300",6157
"Bulkley","(-Inf,3]","Summer","330",4144
"Bulkley","(-Inf,3]","Winter","0",2469
"Bulkley","(-Inf,3]","Winter","30",946
"Bulkley","(-Inf,3]","Winter","60",1330
"Bulkley","(-Inf,3]","Winter","90",2393
"Bulkley","(-Inf,3]","Winter","120",5821
"Bulkley","(-Inf,3]","Winter","150",5147
"Bulkley","(-Inf,3]","Winter","180",2409
"Bulkley","(-Inf,3]","Winter","210",2133
"Bulkley","(-Inf,3]","Winter","240",2185
"Bulkley","(-Inf,3]","Winter","270",3829
"Bulkley","(-Inf,3]","Winter","300",7937
"Bulkley","(-Inf,3]","Winter","330",7178
"Canoe","(9, Inf]","Summer","0",663
"Canoe","(9, Inf]","Summer","30",501
"Canoe","(9, Inf]","Summer","60",257
"Canoe","(9, Inf]","Summer","90",107
"Canoe","(9, Inf]","Summer","120",616
"Canoe","(9, Inf]","Summer","150",3407
"Canoe","(9, Inf]","Summer","180",2116
"Canoe","(9, Inf]","Summer","210",678
"Canoe","(9, Inf]","Summer","240",292
"Canoe","(9, Inf]","Summer","270",88
"Canoe","(9, Inf]","Summer","300",51
"Canoe","(9, Inf]","Summer","330",220
"Canoe","(9, Inf]","Winter","0",390
"Canoe","(9, Inf]","Winter","30",296
"Canoe","(9, Inf]","Winter","60",131
"Canoe","(9, Inf]","Winter","90",57
"Canoe","(9, Inf]","Winter","120",529
"Canoe","(9, Inf]","Winter","150",3539
"Canoe","(9, Inf]","Winter","180",1615
"Canoe","(9, Inf]","Winter","210",176
"Canoe","(9, Inf]","Winter","240",74
"Canoe","(9, Inf]","Winter","270",15
"Canoe","(9, Inf]","Winter","300",8
"Canoe","(9, Inf]","Winter","330",76
"Canoe","(6,9]","Summer","0",132
"Canoe","(6,9]","Summer","30",120
"Canoe","(6,9]","Summer","60",38
"Canoe","(6,9]","Summer","90",34
"Canoe","(6,9]","Summer","120",109
"Canoe","(6,9]","Summer","150",149
"Canoe","(6,9]","Summer","180",98
"Canoe","(6,9]","Summer","210",70
"Canoe","(6,9]","Summer","240",74
"Canoe","(6,9]","Summer","270",31
"Canoe","(6,9]","Summer","300",36
"Canoe","(6,9]","Summer","330",76
"Canoe","(6,9]","Winter","0",41
"Canoe","(6,9]","Winter","30",36
"Canoe","(6,9]","Winter","60",27
"Canoe","(6,9]","Winter","90",41
"Canoe","(6,9]","Winter","120",66
"Canoe","(6,9]","Winter","150",141
"Canoe","(6,9]","Winter","180",60
"Canoe","(6,9]","Winter","210",22
"Canoe","(6,9]","Winter","240",13
"Canoe","(6,9]","Winter","270",6
"Canoe","(6,9]","Winter","300",3
"Canoe","(6,9]","Winter","330",17
"Canoe","(3,6]","Summer","0",87
"Canoe","(3,6]","Summer","30",66
"Canoe","(3,6]","Summer","60",41
"Canoe","(3,6]","Summer","90",47
"Canoe","(3,6]","Summer","120",112
"Canoe","(3,6]","Summer","150",89
"Canoe","(3,6]","Summer","180",47
"Canoe","(3,6]","Summer","210",51
"Canoe","(3,6]","Summer","240",49
"Canoe","(3,6]","Summer","270",32
"Canoe","(3,6]","Summer","300",50
"Canoe","(3,6]","Summer","330",73
"Canoe","(3,6]","Winter","0",42
"Canoe","(3,6]","Winter","30",33
"Canoe","(3,6]","Winter","60",36
"Canoe","(3,6]","Winter","90",54
"Canoe","(3,6]","Winter","120",63
"Canoe","(3,6]","Winter","150",84
"Canoe","(3,6]","Winter","180",54
"Canoe","(3,6]","Winter","210",17
"Canoe","(3,6]","Winter","240",14
"Canoe","(3,6]","Winter","270",10
"Canoe","(3,6]","Winter","300",11
"Canoe","(3,6]","Winter","330",16
"Canoe","(-Inf,3]","Summer","0",208
"Canoe","(-Inf,3]","Summer","30",133
"Canoe","(-Inf,3]","Summer","60",61
"Canoe","(-Inf,3]","Summer","90",80
"Canoe","(-Inf,3]","Summer","120",140
"Canoe","(-Inf,3]","Summer","150",143
"Canoe","(-Inf,3]","Summer","180",89
"Canoe","(-Inf,3]","Summer","210",45
"Canoe","(-Inf,3]","Summer","240",35
"Canoe","(-Inf,3]","Summer","270",34
"Canoe","(-Inf,3]","Summer","300",48
"Canoe","(-Inf,3]","Summer","330",100
"Canoe","(-Inf,3]","Winter","0",196
"Canoe","(-Inf,3]","Winter","30",138
"Canoe","(-Inf,3]","Winter","60",178
"Canoe","(-Inf,3]","Winter","90",108
"Canoe","(-Inf,3]","Winter","120",233
"Canoe","(-Inf,3]","Winter","150",751
"Canoe","(-Inf,3]","Winter","180",308
"Canoe","(-Inf,3]","Winter","210",34
"Canoe","(-Inf,3]","Winter","240",19
"Canoe","(-Inf,3]","Winter","270",17
"Canoe","(-Inf,3]","Winter","300",14
"Canoe","(-Inf,3]","Winter","330",83
"Central Plateau Finlay","(9, Inf]","Winter","0",1
"Central Plateau Finlay","(9, Inf]","Winter","150",1
"Central Plateau Finlay","(6,9]","Summer","120",6
"Central Plateau Finlay","(6,9]","Summer","150",2
"Central Plateau Finlay","(6,9]","Summer","270",1
"Central Plateau Finlay","(6,9]","Summer","300",1
"Central Plateau Finlay","(6,9]","Winter","0",1
"Central Plateau Finlay","(6,9]","Winter","120",324
"Central Plateau Finlay","(6,9]","Winter","150",463
"Central Plateau Finlay","(6,9]","Winter","270",3
"Central Plateau Finlay","(6,9]","Winter","330",1
"Central Plateau Finlay","(3,6]","Summer","0",43
"Central Plateau Finlay","(3,6]","Summer","30",1
"Central Plateau Finlay","(3,6]","Summer","90",104
"Central Plateau Finlay","(3,6]","Summer","120",667
"Central Plateau Finlay","(3,6]","Summer","150",245
"Central Plateau Finlay","(3,6]","Summer","180",40
"Central Plateau Finlay","(3,6]","Summer","210",48
"Central Plateau Finlay","(3,6]","Summer","240",63
"Central Plateau Finlay","(3,6]","Summer","270",233
"Central Plateau Finlay","(3,6]","Summer","300",151
"Central Plateau Finlay","(3,6]","Summer","330",79
"Central Plateau Finlay","(3,6]","Winter","0",36
"Central Plateau Finlay","(3,6]","Winter","90",164
"Central Plateau Finlay","(3,6]","Winter","120",3933
"Central Plateau Finlay","(3,6]","Winter","150",2013
"Central Plateau Finlay","(3,6]","Winter","180",63
"Central Plateau Finlay","(3,6]","Winter","210",51
"Central Plateau Finlay","(3,6]","Winter","240",66
"Central Plateau Finlay","(3,6]","Winter","270",228
"Central Plateau Finlay","(3,6]","Winter","300",255
"Central Plateau Finlay","(3,6]","Winter","330",166
"Central Plateau Finlay","(-Inf,3]","Summer","0",1423
"Central Plateau Finlay","(-Inf,3]","Summer","30",2089
"Central Plateau Finlay","(-Inf,3]","Summer","60",2165
"Central Plateau Finlay","(-Inf,3]","Summer","90",4097
"Central Plateau Finlay","(-Inf,3]","Summer","120",5069
"Central Plateau Finlay","(-Inf,3]","Summer","150",2697
"Central Plateau Finlay","(-Inf,3]","Summer","180",3332
"Central Plateau Finlay","(-Inf,3]","Summer","210",5903
"Central Plateau Finlay","(-Inf,3]","Summer","240",4988
"Central Plateau Finlay","(-Inf,3]","Summer","270",3837
"Central Plateau Finlay","(-Inf,3]","Summer","300",2183
"Central Plateau Finlay","(-Inf,3]","Summer","330",1510
"Central Plateau Finlay","(-Inf,3]","Winter","0",1202
"Central Plateau Finlay","(-Inf,3]","Winter","30",1157
"Central Plateau Finlay","(-Inf,3]","Winter","60",1403
"Central Plateau Finlay","(-Inf,3]","Winter","90",4425
"Central Plateau Finlay","(-Inf,3]","Winter","120",7965
"Central Plateau Finlay","(-Inf,3]","Winter","150",3357
"Central Plateau Finlay","(-Inf,3]","Winter","180",2894
"Central Plateau Finlay","(-Inf,3]","Winter","210",3672
"Central Plateau Finlay","(-Inf,3]","Winter","240",3959
"Central Plateau Finlay","(-Inf,3]","Winter","270",6407
"Central Plateau Finlay","(-Inf,3]","Winter","300",4020
"Central Plateau Finlay","(-Inf,3]","Winter","330",1834
"Coalmine","(-Inf,3]","Summer","60",12
"Coalmine","(-Inf,3]","Summer","90",8
"Coalmine","(-Inf,3]","Summer","120",95
"Coalmine","(-Inf,3]","Summer","150",113
"Coalmine","(-Inf,3]","Summer","180",22
"Coalmine","(-Inf,3]","Summer","210",78
"Coalmine","(-Inf,3]","Summer","240",8
"Coalmine","(-Inf,3]","Summer","270",39
"Coalmine","(-Inf,3]","Summer","300",19
"Coalmine","(-Inf,3]","Winter","0",3
"Coalmine","(-Inf,3]","Winter","30",31
"Coalmine","(-Inf,3]","Winter","60",19
"Coalmine","(-Inf,3]","Winter","90",5
"Coalmine","(-Inf,3]","Winter","120",57
"Coalmine","(-Inf,3]","Winter","150",229
"Coalmine","(-Inf,3]","Winter","180",126
"Coalmine","(-Inf,3]","Winter","210",17
"Coalmine","(-Inf,3]","Winter","240",7
"Coalmine","(-Inf,3]","Winter","270",65
"Coalmine","(-Inf,3]","Winter","300",24
"Coalmine","(-Inf,3]","Winter","330",3
"Crystal Lake","(9, Inf]","Summer","0",45
"Crystal Lake","(9, Inf]","Summer","30",116
"Crystal Lake","(9, Inf]","Summer","60",295
"Crystal Lake","(9, Inf]","Summer","90",76
"Crystal Lake","(9, Inf]","Summer","120",63
"Crystal Lake","(9, Inf]","Summer","150",124
"Crystal Lake","(9, Inf]","Summer","180",179
"Crystal Lake","(9, Inf]","Summer","210",378
"Crystal Lake","(9, Inf]","Summer","240",717
"Crystal Lake","(9, Inf]","Summer","270",636
"Crystal Lake","(9, Inf]","Summer","300",90
"Crystal Lake","(9, Inf]","Summer","330",47
"Crystal Lake","(9, Inf]","Winter","0",163
"Crystal Lake","(9, Inf]","Winter","30",238
"Crystal Lake","(9, Inf]","Winter","60",181
"Crystal Lake","(9, Inf]","Winter","90",26
"Crystal Lake","(9, Inf]","Winter","120",136
"Crystal Lake","(9, Inf]","Winter","150",439
"Crystal Lake","(9, Inf]","Winter","180",197
"Crystal Lake","(9, Inf]","Winter","210",110
"Crystal Lake","(9, Inf]","Winter","240",312
"Crystal Lake","(9, Inf]","Winter","270",286
"Crystal Lake","(9, Inf]","Winter","300",84
"Crystal Lake","(9, Inf]","Winter","330",269
"Crystal Lake","(6,9]","Summer","0",181
"Crystal Lake","(6,9]","Summer","30",149
"Crystal Lake","(6,9]","Summer","60",111
"Crystal Lake","(6,9]","Summer","90",60
"Crystal Lake","(6,9]","Summer","120",98
"Crystal Lake","(6,9]","Summer","150",521
"Crystal Lake","(6,9]","Summer","180",919
"Crystal Lake","(6,9]","Summer","210",829
"Crystal Lake","(6,9]","Summer","240",497
"Crystal Lake","(6,9]","Summer","270",286
"Crystal Lake","(6,9]","Summer","300",204
"Crystal Lake","(6,9]","Summer","330",356
"Crystal Lake","(6,9]","Winter","0",370
"Crystal Lake","(6,9]","Winter","30",141
"Crystal Lake","(6,9]","Winter","60",66
"Crystal Lake","(6,9]","Winter","90",87
"Crystal Lake","(6,9]","Winter","120",98
"Crystal Lake","(6,9]","Winter","150",1320
"Crystal Lake","(6,9]","Winter","180",977
"Crystal Lake","(6,9]","Winter","210",382
"Crystal Lake","(6,9]","Winter","240",149
"Crystal Lake","(6,9]","Winter","270",88
"Crystal Lake","(6,9]","Winter","300",248
"Crystal Lake","(6,9]","Winter","330",817
"Crystal Lake","(3,6]","Summer","0",305
"Crystal Lake","(3,6]","Summer","30",149
"Crystal Lake","(3,6]","Summer","60",80
"Crystal Lake","(3,6]","Summer","90",49
"Crystal Lake","(3,6]","Summer","120",113
"Crystal Lake","(3,6]","Summer","150",717
"Crystal Lake","(3,6]","Summer","180",928
"Crystal Lake","(3,6]","Summer","210",620
"Crystal Lake","(3,6]","Summer","240",320
"Crystal Lake","(3,6]","Summer","270",186
"Crystal Lake","(3,6]","Summer","300",255
"Crystal Lake","(3,6]","Summer","330",575
"Crystal Lake","(3,6]","Winter","0",308
"Crystal Lake","(3,6]","Winter","30",124
"Crystal Lake","(3,6]","Winter","60",104
"Crystal Lake","(3,6]","Winter","90",112
"Crystal Lake","(3,6]","Winter","120",156
"Crystal Lake","(3,6]","Winter","150",1132
"Crystal Lake","(3,6]","Winter","180",1110
"Crystal Lake","(3,6]","Winter","210",522
"Crystal Lake","(3,6]","Winter","240",141
"Crystal Lake","(3,6]","Winter","270",66
"Crystal Lake","(3,6]","Winter","300",304
"Crystal Lake","(3,6]","Winter","330",805
"Crystal Lake","(-Inf,3]","Summer","0",537
"Crystal Lake","(-Inf,3]","Summer","30",333
"Crystal Lake","(-Inf,3]","Summer","60",374
"Crystal Lake","(-Inf,3]","Summer","90",394
"Crystal Lake","(-Inf,3]","Summer","120",467
"Crystal Lake","(-Inf,3]","Summer","150",916
"Crystal Lake","(-Inf,3]","Summer","180",1009
"Crystal Lake","(-Inf,3]","Summer","210",967
"Crystal Lake","(-Inf,3]","Summer","240",713
"Crystal Lake","(-Inf,3]","Summer","270",586
"Crystal Lake","(-Inf,3]","Summer","300",524
"Crystal Lake","(-Inf,3]","Summer","330",663
"Crystal Lake","(-Inf,3]","Winter","0",628
"Crystal Lake","(-Inf,3]","Winter","30",494
"Crystal Lake","(-Inf,3]","Winter","60",669
"Crystal Lake","(-Inf,3]","Winter","90",620
"Crystal Lake","(-Inf,3]","Winter","120",660
"Crystal Lake","(-Inf,3]","Winter","150",1286
"Crystal Lake","(-Inf,3]","Winter","180",1148
"Crystal Lake","(-Inf,3]","Winter","210",1115
"Crystal Lake","(-Inf,3]","Winter","240",694
"Crystal Lake","(-Inf,3]","Winter","270",321
"Crystal Lake","(-Inf,3]","Winter","300",848
"Crystal Lake","(-Inf,3]","Winter","330",1322
"Dunster","(9, Inf]","Summer","0",1
"Dunster","(9, Inf]","Summer","90",1
"Dunster","(9, Inf]","Summer","120",6
"Dunster","(9, Inf]","Summer","300",242
"Dunster","(9, Inf]","Summer","330",13
"Dunster","(9, Inf]","Winter","120",425
"Dunster","(9, Inf]","Winter","150",9
"Dunster","(9, Inf]","Winter","300",223
"Dunster","(9, Inf]","Winter","330",23
"Dunster","(6,9]","Summer","0",1
"Dunster","(6,9]","Summer","30",2
"Dunster","(6,9]","Summer","60",3
"Dunster","(6,9]","Summer","90",3
"Dunster","(6,9]","Summer","120",176
"Dunster","(6,9]","Summer","150",43
"Dunster","(6,9]","Summer","180",1
"Dunster","(6,9]","Summer","210",2
"Dunster","(6,9]","Summer","240",1
"Dunster","(6,9]","Summer","270",12
"Dunster","(6,9]","Summer","300",1445
"Dunster","(6,9]","Summer","330",77
"Dunster","(6,9]","Winter","0",1
"Dunster","(6,9]","Winter","60",1
"Dunster","(6,9]","Winter","90",2
"Dunster","(6,9]","Winter","120",3174
"Dunster","(6,9]","Winter","150",231
"Dunster","(6,9]","Winter","240",1
"Dunster","(6,9]","Winter","270",5
"Dunster","(6,9]","Winter","300",913
"Dunster","(6,9]","Winter","330",106
"Dunster","(3,6]","Summer","0",13
"Dunster","(3,6]","Summer","30",8
"Dunster","(3,6]","Summer","60",14
"Dunster","(3,6]","Summer","90",31
"Dunster","(3,6]","Summer","120",849
"Dunster","(3,6]","Summer","150",649
"Dunster","(3,6]","Summer","180",118
"Dunster","(3,6]","Summer","210",186
"Dunster","(3,6]","Summer","240",37
"Dunster","(3,6]","Summer","270",308
