"Site","WS","gseason","WD","n"
"Blackhawk","(9, Inf]","Summer","0",26
"Blackhawk","(9, Inf]","Summer","30",33
"Blackhawk","(9, Inf]","Summer","60",626
"Blackhawk","(9, Inf]","Summer","90",559
"Blackhawk","(9, Inf]","Summer","120",96
"Blackhawk","(9, Inf]","Summer","150",33
"Blackhawk","(9, Inf]","Summer","180",20
"Blackhawk","(9, Inf]","Summer","210",1081
"Blackhawk","(9, Inf]","Summer","240",1140
"Blackhawk","(9, Inf]","Summer","270",56
"Blackhawk","(9, Inf]","Summer","300",19
"Blackhawk","(9, Inf]","Summer","330",9
"Blackhawk","(9, Inf]","Winter","0",15
"Blackhawk","(9, Inf]","Winter","30",31
"Blackhawk","(9, Inf]","Winter","60",782
"Blackhawk","(9, Inf]","Winter","90",386
"Blackhawk","(9, Inf]","Winter","120",29
"Blackhawk","(9, Inf]","Winter","150",22
"Blackhawk","(9, Inf]","Winter","180",22
"Blackhawk","(9, Inf]","Winter","210",1429
"Blackhawk","(9, Inf]","Winter","240",1144
"Blackhawk","(9, Inf]","Winter","270",22
"Blackhawk","(9, Inf]","Winter","300",4
"Blackhawk","(9, Inf]","Winter","330",6
"Blackhawk","(6,9]","Summer","0",33
"Blackhawk","(6,9]","Summer","30",60
"Blackhawk","(6,9]","Summer","60",390
"Blackhawk","(6,9]","Summer","90",306
"Blackhawk","(6,9]","Summer","120",128
"Blackhawk","(6,9]","Summer","150",73
"Blackhawk","(6,9]","Summer","180",91
"Blackhawk","(6,9]","Summer","210",576
"Blackhawk","(6,9]","Summer","240",651
"Blackhawk","(6,9]","Summer","270",156
"Blackhawk","(6,9]","Summer","300",92
"Blackhawk","(6,9]","Summer","330",35
"Blackhawk","(6,9]","Winter","0",58
"Blackhawk","(6,9]","Winter","30",74
"Blackhawk","(6,9]","Winter","60",310
"Blackhawk","(6,9]","Winter","90",152
"Blackhawk","(6,9]","Winter","120",115
"Blackhawk","(6,9]","Winter","150",39
"Blackhawk","(6,9]","Winter","180",82
"Blackhawk","(6,9]","Winter","210",570
"Blackhawk","(6,9]","Winter","240",666
"Blackhawk","(6,9]","Winter","270",150
"Blackhawk","(6,9]","Winter","300",53
"Blackhawk","(6,9]","Winter","330",46
"Blackhawk","(3,6]","Summer","0",127
"Blackhawk","(3,6]","Summer","30",150
"Blackhawk","(3,6]","Summer","60",361
"Blackhawk","(3,6]","Summer","90",373
"Blackhawk","(3,6]","Summer","120",121
"Blackhawk","(3,6]","Summer","150",74
"Blackhawk","(3,6]","Summer","180",110
"Blackhawk","(3,6]","Summer","210",524
"Blackhawk","(3,6]","Summer","240",644
"Blackhawk","(3,6]","Summer","270",196
"Blackhawk","(3,6]","Summer","300",105
"Blackhawk","(3,6]","Summer","330",114
"Blackhawk","(3,6]","Winter","0",170
"Blackhawk","(3,6]","Winter","30",177
"Blackhawk","(3,6]","Winter","60",315
"Blackhawk","(3,6]","Winter","90",188
"Blackhawk","(3,6]","Winter","120",87
"Blackhawk","(3,6]","Winter","150",64
"Blackhawk","(3,6]","Winter","180",188
"Blackhawk","(3,6]","Winter","210",650
"Blackhawk","(3,6]","Winter","240",777
"Blackhawk","(3,6]","Winter","270",265
"Blackhawk","(3,6]","Winter","300",106
"Blackhawk","(3,6]","Winter","330",104
"Blackhawk","(-Inf,3]","Summer","0",395
"Blackhawk","(-Inf,3]","Summer","30",581
"Blackhawk","(-Inf,3]","Summer","60",1055
"Blackhawk","(-Inf,3]","Summer","90",786
"Blackhawk","(-Inf,3]","Summer","120",371
"Blackhawk","(-Inf,3]","Summer","150",324
"Blackhawk","(-Inf,3]","Summer","180",472
"Blackhawk","(-Inf,3]","Summer","210",1710
"Blackhawk","(-Inf,3]","Summer","240",2230
"Blackhawk","(-Inf,3]","Summer","270",929
"Blackhawk","(-Inf,3]","Summer","300",423
"Blackhawk","(-Inf,3]","Summer","330",326
"Blackhawk","(-Inf,3]","Winter","0",1268
"Blackhawk","(-Inf,3]","Winter","30",1200
"Blackhawk","(-Inf,3]","Winter","60",1648
"Blackhawk","(-Inf,3]","Winter","90",747
"Blackhawk","(-Inf,3]","Winter","120",284
"Blackhawk","(-Inf,3]","Winter","150",450
"Blackhawk","(-Inf,3]","Winter","180",670
"Blackhawk","(-Inf,3]","Winter","210",2147
"Blackhawk","(-Inf,3]","Winter","240",2649
"Blackhawk","(-Inf,3]","Winter","270",1761
"Blackhawk","(-Inf,3]","Winter","300",878
"Blackhawk","(-Inf,3]","Winter","330",602
"Boulder Creek","(9, Inf]","Summer","60",1
"Boulder Creek","(9, Inf]","Summer","150",1
"Boulder Creek","(9, Inf]","Winter","0",3
"Boulder Creek","(9, Inf]","Winter","30",8
"Boulder Creek","(9, Inf]","Winter","60",16
"Boulder Creek","(9, Inf]","Winter","90",7
"Boulder Creek","(9, Inf]","Winter","120",1
"Boulder Creek","(9, Inf]","Winter","150",2
"Boulder Creek","(6,9]","Summer","0",42
"Boulder Creek","(6,9]","Summer","30",54
"Boulder Creek","(6,9]","Summer","60",45
"Boulder Creek","(6,9]","Summer","90",31
"Boulder Creek","(6,9]","Summer","120",33
"Boulder Creek","(6,9]","Summer","150",19
"Boulder Creek","(6,9]","Summer","180",2
"Boulder Creek","(6,9]","Summer","210",1
"Boulder Creek","(6,9]","Summer","240",5
"Boulder Creek","(6,9]","Summer","270",92
"Boulder Creek","(6,9]","Summer","300",40
"Boulder Creek","(6,9]","Summer","330",9
"Boulder Creek","(6,9]","Winter","0",15
"Boulder Creek","(6,9]","Winter","30",153
"Boulder Creek","(6,9]","Winter","60",247
"Boulder Creek","(6,9]","Winter","90",115
"Boulder Creek","(6,9]","Winter","120",50
"Boulder Creek","(6,9]","Winter","150",63
"Boulder Creek","(6,9]","Winter","180",27
"Boulder Creek","(6,9]","Winter","210",2
"Boulder Creek","(6,9]","Winter","240",4
"Boulder Creek","(6,9]","Winter","270",6
"Boulder Creek","(6,9]","Winter","300",2
"Boulder Creek","(6,9]","Winter","330",1
"Boulder Creek","(3,6]","Summer","0",245
"Boulder Creek","(3,6]","Summer","30",392
"Boulder Creek","(3,6]","Summer","60",301
"Boulder Creek","(3,6]","Summer","90",164
"Boulder Creek","(3,6]","Summer","120",123
"Boulder Creek","(3,6]","Summer","150",76
"Boulder Creek","(3,6]","Summer","180",89
"Boulder Creek","(3,6]","Summer","210",225
"Boulder Creek","(3,6]","Summer","240",620
"Boulder Creek","(3,6]","Summer","270",1039
"Boulder Creek","(3,6]","Summer","300",470
"Boulder Creek","(3,6]","Summer","330",212
"Boulder Creek","(3,6]","Winter","0",130
"Boulder Creek","(3,6]","Winter","30",725
"Boulder Creek","(3,6]","Winter","60",966
"Boulder Creek","(3,6]","Winter","90",569
"Boulder Creek","(3,6]","Winter","120",240
"Boulder Creek","(3,6]","Winter","150",171
"Boulder Creek","(3,6]","Winter","180",109
"Boulder Creek","(3,6]","Winter","210",83
"Boulder Creek","(3,6]","Winter","240",107
"Boulder Creek","(3,6]","Winter","270",132
"Boulder Creek","(3,6]","Winter","300",47
"Boulder Creek","(3,6]","Winter","330",23
"Boulder Creek","(-Inf,3]","Summer","0",972
"Boulder Creek","(-Inf,3]","Summer","30",2752
"Boulder Creek","(-Inf,3]","Summer","60",3049
"Boulder Creek","(-Inf,3]","Summer","90",1879
"Boulder Creek","(-Inf,3]","Summer","120",1617
"Boulder Creek","(-Inf,3]","Summer","150",1382
"Boulder Creek","(-Inf,3]","Summer","180",1142
"Boulder Creek","(-Inf,3]","Summer","210",1230
"Boulder Creek","(-Inf,3]","Summer","240",1221
"Boulder Creek","(-Inf,3]","Summer","270",958
"Boulder Creek","(-Inf,3]","Summer","300",786
"Boulder Creek","(-Inf,3]","Summer","330",737
"Boulder Creek","(-Inf,3]","Winter","0",1138
"Boulder Creek","(-Inf,3]","Winter","30",3647
"Boulder Creek","(-Inf,3]","Winter","60",6144
"Boulder Creek","(-Inf,3]","Winter","90",3945
"Boulder Creek","(-Inf,3]","Winter","120",2360
"Boulder Creek","(-Inf,3]","Winter","150",2124
"Boulder Creek","(-Inf,3]","Winter","180",1150
"Boulder Creek","(-Inf,3]","Winter","210",768
"Boulder Creek","(-Inf,3]","Winter","240",729
